text,sr,rule,strategy,action_sequence
"At this point, the handshake is complete, and the client and server
derive the keying material required by the record layer to exchange
application-layer data protected through authenticated encryption.
Application Data MUST NOT be sent prior to sending the Finished
message, except as specified in Section 2.3.  Note that while the
server may send Application Data prior to receiving the client's
Authentication messages, any data sent at that point is, of course,
being sent to an unauthenticated peer.","{'protocol': 'TLS 1.3', 'content': 'Application Data MUST NOT be sent prior to sending the Finished message, except as specified in Section 2.3.', 'message_type': 'No Extension'}","{
    ""structured_rule"": {
        ""protocol"": ""TLS 1.3"",
        ""message"": ""No Extension"",
        ""field"": ""tls.record.content_type"",
        ""construction_rule"": {
            ""role"": ""client"",
            ""content"": ""The client must not send records with a ContentType of 'application_data' prior to sending the Finished message, unless explicitly allowed in Section 2.3 of the TLS 1.3 specification.""
        },
        ""processing_rule"": {
            ""role"": ""server"",
            ""content"": ""The server must verify that it does not receive records with a ContentType of 'application_data' before the Finished message. If such records are received in violation of this rule, the server must terminate the connection with an appropriate alert, such as 'unexpected_message'.""
        }
    }
}","{
    ""rule_violation"": ""The client sends records with a ContentType of 'application_data' before sending the Finished message, violating the sequence rules defined in the TLS 1.3 specification."",
    ""testing_strategies"": [
        {
            ""protocol"": ""TLS 1.3"",
            ""message"": ""No Extension"",
            ""field"": ""tls.record.content_type"",
            ""description"": ""Send a TLS record with ContentType set to 'application_data' immediately after the initial ClientHello message, without completing the handshake."",
            ""expected_behavior"": ""Alert""
        },
        {
            ""protocol"": ""TLS 1.3"",
            ""message"": ""No Extension"",
            ""field"": ""tls.record.content_type"",
            ""description"": ""Send a TLS record with ContentType set to 'application_data' before sending the Finished message after the ServerHello message has been sent and before the client Finished message."",
            ""expected_behavior"": ""Alert""
        },
        {
            ""protocol"": ""TLS 1.3"",
            ""message"": ""No Extension"",
            ""field"": ""tls.record.content_type"",
            ""description"": ""Send multiple TLS records with ContentType set to 'application_data' during the handshake, specifically before any Finished message."",
            ""expected_behavior"": ""Alert""
        }
    ]
}","{
    ""action_sequence"": [
        {
            ""action"": ""update"",
            ""fields"": [""tls"", ""tls.record"", ""tls.record.content_type""],
            ""new_value"": [0x17]
        }
    ]
}"
"At this point, the handshake is complete, and the client and server
derive the keying material required by the record layer to exchange
application-layer data protected through authenticated encryption.
Application Data MUST NOT be sent prior to sending the Finished
message, except as specified in Section 2.3.  Note that while the
server may send Application Data prior to receiving the client's
Authentication messages, any data sent at that point is, of course,
being sent to an unauthenticated peer.","{'protocol': 'TLS 1.3', 'content': 'Application Data MUST NOT be sent prior to sending the Finished message, except as specified in Section 2.3.', 'message_type': 'No Extension'}","{
    ""structured_rule"": {
        ""protocol"": ""TLS 1.3"",
        ""message"": ""No Extension"",
        ""field"": ""tls.record.content_type"",
        ""construction_rule"": {
            ""role"": ""client"",
            ""content"": ""The client must not send records with a ContentType of 'application_data' prior to sending the Finished message, unless explicitly allowed in Section 2.3 of the TLS 1.3 specification.""
        },
        ""processing_rule"": {
            ""role"": ""server"",
            ""content"": ""The server must verify that it does not receive records with a ContentType of 'application_data' before the Finished message. If such records are received in violation of this rule, the server must terminate the connection with an appropriate alert, such as 'unexpected_message'.""
        }
    }
}","{
    ""rule_violation"": ""The client sends records with a ContentType of 'application_data' before sending the Finished message, violating the sequence rules defined in the TLS 1.3 specification."",
    ""testing_strategies"": [
        {
            ""protocol"": ""TLS 1.3"",
            ""message"": ""No Extension"",
            ""field"": ""tls.record.content_type"",
            ""description"": ""Send a TLS record with ContentType set to 'application_data' immediately after the initial ClientHello message, without completing the handshake."",
            ""expected_behavior"": ""Alert""
        },
        {
            ""protocol"": ""TLS 1.3"",
            ""message"": ""No Extension"",
            ""field"": ""tls.record.content_type"",
            ""description"": ""Send a TLS record with ContentType set to 'application_data' before sending the Finished message after the ServerHello message has been sent and before the client Finished message."",
            ""expected_behavior"": ""Alert""
        },
        {
            ""protocol"": ""TLS 1.3"",
            ""message"": ""No Extension"",
            ""field"": ""tls.record.content_type"",
            ""description"": ""Send multiple TLS records with ContentType set to 'application_data' during the handshake, specifically before any Finished message."",
            ""expected_behavior"": ""Alert""
        }
    ]
}","{
    ""action_sequence"": [
        {
            ""action"": ""update"",
            ""fields"": [""tls"", ""tls.record"", ""tls.record.content_type""],
            ""new_value"": [0x17]
        }
    ]
}"
"At this point, the handshake is complete, and the client and server
derive the keying material required by the record layer to exchange
application-layer data protected through authenticated encryption.
Application Data MUST NOT be sent prior to sending the Finished
message, except as specified in Section 2.3.  Note that while the
server may send Application Data prior to receiving the client's
Authentication messages, any data sent at that point is, of course,
being sent to an unauthenticated peer.","{'protocol': 'TLS 1.3', 'content': 'Application Data MUST NOT be sent prior to sending the Finished message, except as specified in Section 2.3.', 'message_type': 'No Extension'}","{
    ""structured_rule"": {
        ""protocol"": ""TLS 1.3"",
        ""message"": ""No Extension"",
        ""field"": ""tls.record.content_type"",
        ""construction_rule"": {
            ""role"": ""client"",
            ""content"": ""The client must not send records with a ContentType of 'application_data' prior to sending the Finished message, unless explicitly allowed in Section 2.3 of the TLS 1.3 specification.""
        },
        ""processing_rule"": {
            ""role"": ""server"",
            ""content"": ""The server must verify that it does not receive records with a ContentType of 'application_data' before the Finished message. If such records are received in violation of this rule, the server must terminate the connection with an appropriate alert, such as 'unexpected_message'.""
        }
    }
}","{
    ""rule_violation"": ""The client sends records with a ContentType of 'application_data' before sending the Finished message, violating the sequence rules defined in the TLS 1.3 specification."",
    ""testing_strategies"": [
        {
            ""protocol"": ""TLS 1.3"",
            ""message"": ""No Extension"",
            ""field"": ""tls.record.content_type"",
            ""description"": ""Send a TLS record with ContentType set to 'application_data' immediately after the initial ClientHello message, without completing the handshake."",
            ""expected_behavior"": ""Alert""
        },
        {
            ""protocol"": ""TLS 1.3"",
            ""message"": ""No Extension"",
            ""field"": ""tls.record.content_type"",
            ""description"": ""Send a TLS record with ContentType set to 'application_data' before sending the Finished message after the ServerHello message has been sent and before the client Finished message."",
            ""expected_behavior"": ""Alert""
        },
        {
            ""protocol"": ""TLS 1.3"",
            ""message"": ""No Extension"",
            ""field"": ""tls.record.content_type"",
            ""description"": ""Send multiple TLS records with ContentType set to 'application_data' during the handshake, specifically before any Finished message."",
            ""expected_behavior"": ""Alert""
        }
    ]
}","{
    ""action_sequence"": [
        {
            ""action"": ""update"",
            ""fields"": [""tls"", ""tls.record"", ""tls.record.content_type""],
            ""new_value"": [0x17]
        }
    ]
}"
"PSKs can be used with (EC)DHE key exchange in order to provide forward secrecy in combination with shared keys, or can be used alone, at the cost of losing forward secrecy for the application data.","{'protocol': 'TLS 1.3', 'content': 'Pre Shared Key Extension can be used alone, at the cost of losing forward secrecy for the application data.', 'message_type': 'Pre Shared Key Extension'}","{
    ""structured_rule"": {
        ""protocol"": ""TLS 1.3"",
        ""message"": ""Pre Shared Key Extension"",
        ""field"": ""tls.handshake.extension.type"",
        ""construction_rule"": {
            ""role"": ""client"",
            ""content"": ""When using the Pre-Shared Key (PSK) Extension in TLS 1.3, the client may use it alone without key exchange mode extensions. However, this results in the application data losing forward secrecy.""
        },
        ""processing_rule"": {
            ""role"": ""server"",
            ""content"": ""Upon receiving a ClientHello that includes the Pre-Shared Key (PSK) Extension without any key exchange mode extensions, the server must process the extension and proceed with the handshake. However, the server must recognize that forward secrecy is lost for application data exchanged during the session.""
        }
    }
}","{
    ""rule_violation"": ""The client uses the Pre-Shared Key (PSK) Extension in TLS 1.3 without including any key exchange mode extensions, leading to a loss of forward secrecy."",
    ""testing_strategies"": [
        {
            ""protocol"": ""TLS 1.3"",
            ""message"": ""Pre Shared Key Extension"",
            ""field"": ""tls.handshake.extension.type"",
            ""description"": ""Send a ClientHello message with only the Pre-Shared Key (PSK) Extension included, without any key exchange mode extensions."",
            ""expected_behavior"": ""ServerHello""
        },
        {
            ""protocol"": ""TLS 1.3"",
            ""message"": ""Pre Shared Key Extension"",
            ""field"": ""tls.handshake.extension.type"",
            ""description"": ""Send a ClientHello message with a malformed Pre-Shared Key (PSK) Extension, omitting key exchange mode extensions."",
            ""expected_behavior"": ""Alert""
        }
    ]
}","{
    ""action_sequence"": [
        {
            ""action"": ""remove"",
            ""fields"": [""tls"", ""tls.record"", ""tls.handshake"", ""Extension: pre_shared_key"", ""Pre-Shared Key extension"", ""tls.handshake.extensions.psk.identities.length""]
        },
        {
            ""action"": ""remove"",
            ""fields"": [""tls"", ""tls.record"", ""tls.handshake"", ""Extension: pre_shared_key"", ""Pre-Shared Key extension"", ""PSK Identity""]
        },
        {
            ""action"": ""remove"",
            ""fields"": [""tls"", ""tls.record"", ""tls.handshake"", ""Extension: pre_shared_key"", ""Pre-Shared Key extension"", ""tls.handshake.extensions.psk.binders_len""]
        },
        {
            ""action"": ""remove"",
            ""fields"": [""tls"", ""tls.record"", ""tls.handshake"", ""Extension: pre_shared_key"", ""Pre-Shared Key extension"", ""tls.handshake.extensions.psk.binders""]
        }
    ]
}"
"PSKs can be used with (EC)DHE key exchange in order to provide forward secrecy in combination with shared keys, or can be used alone, at the cost of losing forward secrecy for the application data.","{'protocol': 'TLS 1.3', 'content': 'Pre Shared Key Extension can be used alone, at the cost of losing forward secrecy for the application data.', 'message_type': 'Pre Shared Key Extension'}","{
    ""structured_rule"": {
        ""protocol"": ""TLS 1.3"",
        ""message"": ""Pre Shared Key Extension"",
        ""field"": ""tls.handshake.extension.type"",
        ""construction_rule"": {
            ""role"": ""client"",
            ""content"": ""When using the Pre-Shared Key (PSK) Extension in TLS 1.3, the client may use it alone without key exchange mode extensions. However, this results in the application data losing forward secrecy.""
        },
        ""processing_rule"": {
            ""role"": ""server"",
            ""content"": ""Upon receiving a ClientHello that includes the Pre-Shared Key (PSK) Extension without any key exchange mode extensions, the server must process the extension and proceed with the handshake. However, the server must recognize that forward secrecy is lost for application data exchanged during the session.""
        }
    }
}","{
    ""rule_violation"": ""The client uses the Pre-Shared Key (PSK) Extension in TLS 1.3 without including any key exchange mode extensions, leading to a loss of forward secrecy."",
    ""testing_strategies"": [
        {
            ""protocol"": ""TLS 1.3"",
            ""message"": ""Pre Shared Key Extension"",
            ""field"": ""tls.handshake.extension.type"",
            ""description"": ""Send a ClientHello message with only the Pre-Shared Key (PSK) Extension included, without any key exchange mode extensions."",
            ""expected_behavior"": ""ServerHello""
        },
        {
            ""protocol"": ""TLS 1.3"",
            ""message"": ""Pre Shared Key Extension"",
            ""field"": ""tls.handshake.extension.type"",
            ""description"": ""Send a ClientHello message with a malformed Pre-Shared Key (PSK) Extension, omitting key exchange mode extensions."",
            ""expected_behavior"": ""Alert""
        }
    ]
}","{
    ""action_sequence"": [
        {
            ""action"": ""remove"",
            ""fields"": [""tls"", ""tls.record"", ""tls.handshake"", ""Extension: pre_shared_key"", ""Pre-Shared Key extension"", ""tls.handshake.extensions.psk.binders""]
        }
    ]
}"
"Finally, the client and server exchange Authentication messages.
TLS uses the same set of messages every time that certificate-based authentication is needed. (PSK-based authentication happens as a side effect of key exchange.) Specifically: Certificate: The certificate of the endpoint and any per-certificate extensions.
This message is omitted by the server if not authenticating with a certificate and by the client if the server did not send CertificateRequest (thus indicating that the client should not authenticate with a certificate).
Note that if raw public keys [RFC7250] or the cached information extension [RFC7924] are in use, then this message will not contain a certificate but rather some other value corresponding to the server's long-term key. [Section 4.4.2]","{'protocol': 'TLS 1.3', 'content': 'The Certificate message is omitted by the server if not authenticating with a certificate and by the client if the server did not send CertificateRequest, thus indicating that the client should not authenticate with a certificate.', 'message_type': 'No Extension'}","{
    ""structured_rule"": {
        ""protocol"": ""TLS 1.3"",
        ""message"": ""No Extension"",
        ""field"": ""tls.handshake.type"",
        ""construction_rule"": {
            ""role"": ""server"",
            ""content"": ""The server MUST omit the Certificate message if it is not authenticating with a certificate.""
        },
        ""processing_rule"": {
            ""role"": ""client"",
            ""content"": ""The client MUST omit the Certificate message if the server did not send a CertificateRequest, indicating that client certificate authentication is not required.""
        }
    }
}","{
    ""rule_violation"": ""The server sends a Certificate message even though it is not authenticating with a certificate, violating the omission requirement for non-certificate authentication."",
    ""testing_strategies"": [
        {
            ""protocol"": ""TLS 1.3"",
            ""message"": ""No Extension"",
            ""field"": ""tls.handshake.type"",
            ""description"": ""Have the server send a Certificate message in the handshake process even though it is not set up to authenticate using a certificate."",
            ""expected_behavior"": ""Alert""
        },
        {
            ""protocol"": ""TLS 1.3"",
            ""message"": ""No Extension"",
            ""field"": ""tls.handshake.type"",
            ""description"": ""Send a mock server message chain that includes a Certificate message without prior setup for certificate-based authentication."",
            ""expected_behavior"": ""Alert""
        },
        {
            ""protocol"": ""TLS 1.3"",
            ""message"": ""No Extension"",
            ""field"": ""tls.handshake.type"",
            ""description"": ""Introduce a configuration on the server that forces sending a Certificate message despite not requiring a certificate for authentication."",
            ""expected_behavior"": ""Alert""
        }
    ]
}","{
    ""action_sequence"": [
        {
            ""action"": ""update"",
            ""fields"": [""tls"", ""tls.record"", ""tls.handshake"", ""tls.handshake.type""],
            ""new_value"": [0x0B]
        }
    ]
}"
"Finally, the client and server exchange Authentication messages.
TLS uses the same set of messages every time that certificate-based authentication is needed. (PSK-based authentication happens as a side effect of key exchange.) Specifically: Certificate: The certificate of the endpoint and any per-certificate extensions.
This message is omitted by the server if not authenticating with a certificate and by the client if the server did not send CertificateRequest (thus indicating that the client should not authenticate with a certificate).
Note that if raw public keys [RFC7250] or the cached information extension [RFC7924] are in use, then this message will not contain a certificate but rather some other value corresponding to the server's long-term key. [Section 4.4.2]","{'protocol': 'TLS 1.3', 'content': 'The Certificate message is omitted by the server if not authenticating with a certificate and by the client if the server did not send CertificateRequest, thus indicating that the client should not authenticate with a certificate.', 'message_type': 'No Extension'}","{
    ""structured_rule"": {
        ""protocol"": ""TLS 1.3"",
        ""message"": ""No Extension"",
        ""field"": ""tls.handshake.type"",
        ""construction_rule"": {
            ""role"": ""server"",
            ""content"": ""The server MUST omit the Certificate message if it is not authenticating with a certificate.""
        },
        ""processing_rule"": {
            ""role"": ""client"",
            ""content"": ""The client MUST omit the Certificate message if the server did not send a CertificateRequest, indicating that client certificate authentication is not required.""
        }
    }
}","{
    ""rule_violation"": ""The server sends a Certificate message even though it is not authenticating with a certificate, violating the omission requirement for non-certificate authentication."",
    ""testing_strategies"": [
        {
            ""protocol"": ""TLS 1.3"",
            ""message"": ""No Extension"",
            ""field"": ""tls.handshake.type"",
            ""description"": ""Have the server send a Certificate message in the handshake process even though it is not set up to authenticate using a certificate."",
            ""expected_behavior"": ""Alert""
        },
        {
            ""protocol"": ""TLS 1.3"",
            ""message"": ""No Extension"",
            ""field"": ""tls.handshake.type"",
            ""description"": ""Send a mock server message chain that includes a Certificate message without prior setup for certificate-based authentication."",
            ""expected_behavior"": ""Alert""
        },
        {
            ""protocol"": ""TLS 1.3"",
            ""message"": ""No Extension"",
            ""field"": ""tls.handshake.type"",
            ""description"": ""Introduce a configuration on the server that forces sending a Certificate message despite not requiring a certificate for authentication."",
            ""expected_behavior"": ""Alert""
        }
    ]
}","{
    ""action_sequence"": [
        {
            ""action"": ""update"",
            ""fields"": [""tls"", ""tls.record"", ""tls.handshake"", ""tls.handshake.type""],
            ""new_value"": [0x0B]
        }
    ]
}"
"Finally, the client and server exchange Authentication messages.
TLS uses the same set of messages every time that certificate-based authentication is needed. (PSK-based authentication happens as a side effect of key exchange.) Specifically: Certificate: The certificate of the endpoint and any per-certificate extensions.
This message is omitted by the server if not authenticating with a certificate and by the client if the server did not send CertificateRequest (thus indicating that the client should not authenticate with a certificate).
Note that if raw public keys [RFC7250] or the cached information extension [RFC7924] are in use, then this message will not contain a certificate but rather some other value corresponding to the server's long-term key. [Section 4.4.2]","{'protocol': 'TLS 1.3', 'content': 'The Certificate message is omitted by the server if not authenticating with a certificate and by the client if the server did not send CertificateRequest, thus indicating that the client should not authenticate with a certificate.', 'message_type': 'No Extension'}","{
    ""structured_rule"": {
        ""protocol"": ""TLS 1.3"",
        ""message"": ""No Extension"",
        ""field"": ""tls.handshake.type"",
        ""construction_rule"": {
            ""role"": ""server"",
            ""content"": ""The server MUST omit the Certificate message if it is not authenticating with a certificate.""
        },
        ""processing_rule"": {
            ""role"": ""client"",
            ""content"": ""The client MUST omit the Certificate message if the server did not send a CertificateRequest, indicating that client certificate authentication is not required.""
        }
    }
}","{
    ""rule_violation"": ""The server sends a Certificate message even though it is not authenticating with a certificate, violating the omission requirement for non-certificate authentication."",
    ""testing_strategies"": [
        {
            ""protocol"": ""TLS 1.3"",
            ""message"": ""No Extension"",
            ""field"": ""tls.handshake.type"",
            ""description"": ""Have the server send a Certificate message in the handshake process even though it is not set up to authenticate using a certificate."",
            ""expected_behavior"": ""Alert""
        },
        {
            ""protocol"": ""TLS 1.3"",
            ""message"": ""No Extension"",
            ""field"": ""tls.handshake.type"",
            ""description"": ""Send a mock server message chain that includes a Certificate message without prior setup for certificate-based authentication."",
            ""expected_behavior"": ""Alert""
        },
        {
            ""protocol"": ""TLS 1.3"",
            ""message"": ""No Extension"",
            ""field"": ""tls.handshake.type"",
            ""description"": ""Introduce a configuration on the server that forces sending a Certificate message despite not requiring a certificate for authentication."",
            ""expected_behavior"": ""Alert""
        }
    ]
}","{
    ""action_sequence"": [
        {
            ""action"": ""update"",
            ""fields"": [""tls"", ""tls.record"", ""tls.handshake"", ""tls.handshake.type""],
            ""new_value"": [0x0B]
        }
    ]
}"
"At this point, the handshake is complete, and the client and server
derive the keying material required by the record layer to exchange
application-layer data protected through authenticated encryption.
Application Data MUST NOT be sent prior to sending the Finished
message, except as specified in Section 2.3.  Note that while the
server may send Application Data prior to receiving the client's
Authentication messages, any data sent at that point is, of course,
being sent to an unauthenticated peer.","{'protocol': 'TLS 1.3', 'content': ""The server may send Application Data prior to receiving the client's Authentication messages, but any data sent at that point is being sent to an unauthenticated peer."", 'message_type': 'No Extension'}","{
    ""structured_rule"": {
        ""protocol"": ""TLS 1.3"",
        ""message"": ""No Extension"",
        ""field"": ""tls.record.content_type"",
        ""construction_rule"": {
            ""role"": ""server"",
            ""content"": ""When sending Application Data in TLS 1.3, the server may send data prior to receiving the client's Authentication messages, but must be aware that it is being sent to an unauthenticated peer.""
        },
        ""processing_rule"": {
            ""role"": ""client"",
            ""content"": ""Upon receiving Application Data before Authentication messages, the client should handle this data with awareness that it originates from an unauthenticated peer and should process it accordingly.""
        }
    }
}","{
    ""rule_violation"": ""The server sends Application Data in a TLS 1.3 session before receiving the client's Authentication messages, without properly acknowledging the unauthenticated state."",
    ""testing_strategies"": [
        {
            ""protocol"": ""TLS 1.3"",
            ""message"": ""No Extension"",
            ""field"": ""tls.record.content_type"",
            ""description"": ""Send Application Data prior to receiving any Authentication messages from the client, in a way that simulates a normal Application Data exchange while in an unauthenticated state."",
            ""expected_behavior"": ""Alert""
        },
        {
            ""protocol"": ""TLS 1.3"",
            ""message"": ""No Extension"",
            ""field"": ""tls.record.content_type"",
            ""description"": ""Initiate an exchange where the server sends multiple Application Data records before any Authentication messages are exchanged, testing the client's handling of prolonged unauthenticated data."",
            ""expected_behavior"": ""Alert""
        }
    ]
}","{
    ""action_sequence"": [
        {
            ""action"": ""update"",
            ""fields"": [""tls"", ""tls.record"", ""tls.record.content_type""],
            ""new_value"": [0x17]
        }
    ]
}"
"At this point, the handshake is complete, and the client and server
derive the keying material required by the record layer to exchange
application-layer data protected through authenticated encryption.
Application Data MUST NOT be sent prior to sending the Finished
message, except as specified in Section 2.3.  Note that while the
server may send Application Data prior to receiving the client's
Authentication messages, any data sent at that point is, of course,
being sent to an unauthenticated peer.","{'protocol': 'TLS 1.3', 'content': ""The server may send Application Data prior to receiving the client's Authentication messages, but any data sent at that point is being sent to an unauthenticated peer."", 'message_type': 'No Extension'}","{
    ""structured_rule"": {
        ""protocol"": ""TLS 1.3"",
        ""message"": ""No Extension"",
        ""field"": ""tls.record.content_type"",
        ""construction_rule"": {
            ""role"": ""server"",
            ""content"": ""When sending Application Data in TLS 1.3, the server may send data prior to receiving the client's Authentication messages, but must be aware that it is being sent to an unauthenticated peer.""
        },
        ""processing_rule"": {
            ""role"": ""client"",
            ""content"": ""Upon receiving Application Data before Authentication messages, the client should handle this data with awareness that it originates from an unauthenticated peer and should process it accordingly.""
        }
    }
}","{
    ""rule_violation"": ""The server sends Application Data in a TLS 1.3 session before receiving the client's Authentication messages, without properly acknowledging the unauthenticated state."",
    ""testing_strategies"": [
        {
            ""protocol"": ""TLS 1.3"",
            ""message"": ""No Extension"",
            ""field"": ""tls.record.content_type"",
            ""description"": ""Send Application Data prior to receiving any Authentication messages from the client, in a way that simulates a normal Application Data exchange while in an unauthenticated state."",
            ""expected_behavior"": ""Alert""
        },
        {
            ""protocol"": ""TLS 1.3"",
            ""message"": ""No Extension"",
            ""field"": ""tls.record.content_type"",
            ""description"": ""Initiate an exchange where the server sends multiple Application Data records before any Authentication messages are exchanged, testing the client's handling of prolonged unauthenticated data."",
            ""expected_behavior"": ""Alert""
        }
    ]
}","{
    ""action_sequence"": [
        {
            ""action"": ""update"",
            ""fields"": [""tls"", ""tls.record"", ""tls.record.content_type""],
            ""new_value"": [0x17]
        }
    ]
}"
