//----- (000000018001CE80) ----------------------------------------------------
__int64 __fastcall CSsl3TlsServerContext::DigestClientHello(
        CSsl3TlsServerContext *this,
        unsigned __int8 *Src,
        SIZE_T uBytes,
        char a4,
        unsigned __int8 *a5)
{
  unsigned __int8 *v5; // r13
  SIZE_T v6; // rdi
  char v9; // r15
  __int64 v10; // r8
  bool v11; // zf
  unsigned int v12; // ebx
  __int64 v13; // r12
  __int64 v14; // rax
  __int64 v15; // rcx
  HLOCAL v16; // rax
  unsigned int v17; // edi
  struct _RTL_RESOURCE *v18; // rsi
  unsigned int v19; // ecx
  __int64 v20; // rax
  unsigned __int64 v21; // r10
  unsigned int v22; // r13d
  const wchar_t **v23; // rsi
  unsigned __int8 v24; // bl
  int v25; // eax
  __int64 v26; // r8
  __int16 v27; // ax
  ULONG v28; // eax
  ULONG v29; // ebx
  __int64 v30; // rax
  unsigned int v31; // r8d
  size_t v32; // rdi
  unsigned int v33; // ecx
  unsigned int v34; // ecx
  unsigned int v35; // ebx
  __int64 v36; // r12
  int v37; // esi
  char v38; // al
  int v39; // ecx
  __int64 v40; // r13
  _QWORD **v41; // rcx
  _QWORD *v42; // r15
  __int64 v43; // rbx
  unsigned int v44; // eax
  unsigned int v45; // edx
  unsigned int v46; // ecx
  signed __int32 v47; // edi
  __int64 v48; // rdx
  _QWORD *v49; // rcx
  char v50; // al
  __int64 v51; // rax
  unsigned int v52; // ecx
  unsigned int v53; // r15d
  __int64 v54; // rdx
  int v55; // r10d
  __int64 v56; // r8
  int v57; // ebx
  __int64 v58; // rcx
  __int64 v59; // r13
  __int64 v60; // rcx
  __int64 v61; // rax
  __int64 *v62; // rsi
  __int64 v63; // rax
  __int64 v64; // rdi
  __int64 v65; // rbx
  __int64 v66; // rcx
  volatile signed __int32 *v67; // rcx
  __int64 v68; // r12
  unsigned int v69; // r9d
  unsigned int v70; // r8d
  __int64 v71; // rax
  int v72; // eax
  int v73; // r9d
  __int64 *v74; // r8
  unsigned int v75; // r10d
  unsigned int v76; // edx
  __int64 v77; // r8
  __int64 v78; // rcx
  __int64 v79; // rax
  __int64 v81; // rax
  int v82; // eax
  __int64 v83; // rcx
  CSessionCacheManager *v84; // rsi
  int v85; // r12d
  unsigned int v86; // r15d
  CSessionCacheItem *v87; // rax
  CSessionCacheItem *v88; // rdi
  unsigned int v89; // ebx
  CSessionCacheTable *v90; // rcx
  _QWORD *v91; // rsi
  __int64 *v92; // r8
  __int64 v93; // rcx
  __int64 **v94; // rax
  _QWORD *v95; // rsi
  _QWORD *v96; // rcx
  _QWORD *v97; // rax
  CSessionCacheManager *v98; // rax
  __int64 v99; // rcx
  unsigned int v100; // ecx
  unsigned int v101; // r9d
  unsigned int *v102; // r8
  int v103; // eax
  __int64 v104; // rax
  unsigned int v105; // ecx
  int v106; // eax
  size_t v107; // [rsp+20h] [rbp-E0h]
  unsigned int v109; // [rsp+44h] [rbp-BCh] BYREF
  DWORD CurrentProcessId; // [rsp+48h] [rbp-B8h]
  unsigned __int64 v111; // [rsp+50h] [rbp-B0h]
  size_t Size; // [rsp+58h] [rbp-A8h] BYREF
  unsigned __int8 *v113; // [rsp+60h] [rbp-A0h]
  unsigned int *v114; // [rsp+68h] [rbp-98h] BYREF
  CSessionCacheManager *v115; // [rsp+70h] [rbp-90h]
  PRTL_RESOURCE Resource; // [rsp+78h] [rbp-88h]
  __int64 v117; // [rsp+80h] [rbp-80h] BYREF
  unsigned __int8 v118[16]; // [rsp+88h] [rbp-78h] BYREF
  __int128 v119; // [rsp+98h] [rbp-68h]
  int v120[6]; // [rsp+A8h] [rbp-58h] BYREF
  _BYTE Source1[20]; // [rsp+C0h] [rbp-40h] BYREF
  __int16 v122; // [rsp+D8h] [rbp-28h] BYREF
  __int128 v123; // [rsp+DAh] [rbp-26h]
  __int128 v124; // [rsp+EAh] [rbp-16h]
  __int16 v125; // [rsp+FAh] [rbp-6h]
  char v126[272]; // [rsp+100h] [rbp+0h] BYREF
  UCHAR pbBuffer[16]; // [rsp+210h] [rbp+110h] BYREF
  __int128 v128; // [rsp+220h] [rbp+120h]
  __int128 Buf1[2]; // [rsp+230h] [rbp+130h] BYREF

  v5 = a5;
  v6 = (unsigned int)uBytes;
  v113 = a5;
  LODWORD(Size) = 0;
  memset(Buf1, 0, sizeof(Buf1));
  v9 = a4;
  memset_0(v126, 0, sizeof(v126));
  v11 = *((_BYTE *)this + 233) == 0;
  v12 = 4;
  v109 = 68;
  v114 = (unsigned int *)v126;
  v13 = 12i64;
  if ( !v11 )
    v12 = 12;
  v115 = CSessionCacheManager::m_pSessionCacheManager;
  *(_OWORD *)pbBuffer = 0i64;
  v128 = 0i64;
  if ( !Src || (unsigned int)v6 < v12 || !a5 )
    return 87i64;
  *a5 = 0;
  if ( *((_QWORD *)this + 110) )
  {
    (*(void (__fastcall **)(CSsl3TlsServerContext *))(*(_QWORD *)this + 16i64))(this);
    *((_QWORD *)this + 110) = 0i64;
  }
  v14 = *((_QWORD *)this + 16);
  *((_DWORD *)this + 218) = v6;
  v15 = *(_QWORD *)(v14 + 24);
  if ( v15 )
  {
    LOBYTE(v10) = 1;
    v16 = (HLOCAL)(*(__int64 (__fastcall **)(__int64, SIZE_T, __int64))(*(_QWORD *)v15 + 48i64))(v15, v6, v10);
  }
  else if ( LsaTable )
  {
    v16 = (HLOCAL)(*(__int64 (__fastcall **)(_QWORD))(LsaTable + 40))((unsigned int)v6);
  }
  else
  {
    v16 = LocalAlloc(0x40u, v6);
  }
  *((_QWORD *)this + 110) = v16;
  if ( !v16 )
  {
    v29 = 14;
    goto LABEL_123;
  }
  memcpy_0(v16, Src, *((unsigned int *)this + 218));
  v17 = v6 - v12;
  v18 = (struct _RTL_RESOURCE *)&Src[v12];
  CurrentProcessId = v17;
  v11 = (*((_DWORD *)this + 16) & 0x40400) == 0;
  Resource = v18;
  if ( !v11 )
  {
    RtlAcquireResourceShared(&::Resource, 1u);
    *((_WORD *)this + 237) = 0;
    *((_WORD *)this + 254) = 0;
    v19 = (unsigned __int16)word_1800925E8;
    if ( (unsigned __int16)word_1800925E8 <= 0x10u )
    {
      *((_WORD *)this + 237) = word_1800925E8;
      *((_WORD *)this + 254) = word_18009260A;
      memcpy_0((char *)this + 476, &xmmword_1800925EA, 2i64 * v19);
    }
    RtlReleaseResource(&::Resource);
    v20 = *((_QWORD *)this + 10);
    v21 = *(_QWORD *)(v20 + 200);
