//----- (0000000140061128) ----------------------------------------------------
ULONG __fastcall Template_zzzzzzztzqqqqqqzzmmzzzz(
        __int64 a1,
        __int64 a2,
        const unsigned __int16 *a3,
        const unsigned __int16 *a4,
        const unsigned __int16 *a5,
        const unsigned __int16 *a6,
        const unsigned __int16 *a7,
        const unsigned __int16 *a8,
        const unsigned __int16 *a9,
        char a10,
        const unsigned __int16 *a11,
        char a12,
        char a13,
        char a14,
        char a15,
        char a16,
        char a17,
        const unsigned __int16 *a18,
        const unsigned __int16 *a19,
        __int64 a20,
        __int64 a21,
        const unsigned __int16 *a22,
        const unsigned __int16 *a23,
        const unsigned __int16 *a24,
        const unsigned __int16 *a25)
{
  __int64 v25; // rcx
  int v27; // edx
  __int64 v28; // rax
  ULONG v29; // r11d
  const wchar_t *v30; // r8
  const wchar_t *v31; // rax
  __int64 v32; // rax
  int v33; // r10d
  const wchar_t *v34; // rax
  __int64 v35; // rax
  int v36; // r10d
  const wchar_t *v37; // rax
  __int64 v38; // rax
  int v39; // r10d
  const wchar_t *v40; // rax
  __int64 v41; // rax
  int v42; // r10d
  const wchar_t *v43; // rax
  __int64 v44; // rax
  int v45; // r10d
  const wchar_t *v46; // rax
  __int64 v47; // rax
  int v48; // r10d
  const wchar_t *v49; // rax
  __int64 v50; // rax
  int v51; // r10d
  const wchar_t *v52; // rax
  __int64 v53; // rax
  int v54; // r9d
  const wchar_t *v55; // rax
  __int64 v56; // rax
  int v57; // r10d
  const wchar_t *v58; // rax
  __int64 v59; // rax
  int v60; // r10d
  const wchar_t *v61; // rax
  __int64 v62; // rax
  int v63; // r10d
  const wchar_t *v64; // rax
  __int64 v65; // rax
  int v66; // r10d
  const wchar_t *v67; // rax
  bool v68; // zf
  struct _EVENT_DATA_DESCRIPTOR UserData; // [rsp+20h] [rbp-E0h] BYREF
  const wchar_t *v71; // [rsp+30h] [rbp-D0h]
  int v72; // [rsp+38h] [rbp-C8h]
  int v73; // [rsp+3Ch] [rbp-C4h]
  const wchar_t *v74; // [rsp+40h] [rbp-C0h]
  int v75; // [rsp+48h] [rbp-B8h]
  int v76; // [rsp+4Ch] [rbp-B4h]
  const wchar_t *v77; // [rsp+50h] [rbp-B0h]
  int v78; // [rsp+58h] [rbp-A8h]
  int v79; // [rsp+5Ch] [rbp-A4h]
  const wchar_t *v80; // [rsp+60h] [rbp-A0h]
  int v81; // [rsp+68h] [rbp-98h]
  int v82; // [rsp+6Ch] [rbp-94h]
  const wchar_t *v83; // [rsp+70h] [rbp-90h]
  int v84; // [rsp+78h] [rbp-88h]
  int v85; // [rsp+7Ch] [rbp-84h]
  const wchar_t *v86; // [rsp+80h] [rbp-80h]
  int v87; // [rsp+88h] [rbp-78h]
  int v88; // [rsp+8Ch] [rbp-74h]
  char *v89; // [rsp+90h] [rbp-70h]
  __int64 v90; // [rsp+98h] [rbp-68h]
  const wchar_t *v91; // [rsp+A0h] [rbp-60h]
  int v92; // [rsp+A8h] [rbp-58h]
  int v93; // [rsp+ACh] [rbp-54h]
  char *v94; // [rsp+B0h] [rbp-50h]
  __int64 v95; // [rsp+B8h] [rbp-48h]
  char *v96; // [rsp+C0h] [rbp-40h]
  __int64 v97; // [rsp+C8h] [rbp-38h]
  char *v98; // [rsp+D0h] [rbp-30h]
  __int64 v99; // [rsp+D8h] [rbp-28h]
  char *v100; // [rsp+E0h] [rbp-20h]
  __int64 v101; // [rsp+E8h] [rbp-18h]
  char *v102; // [rsp+F0h] [rbp-10h]
