//----- (0000000140148958) ----------------------------------------------------
__int64 __fastcall ParseInputString(int a1, char *a2, _QWORD *a3)
{
  unsigned int v6; // edi
  unsigned __int64 v7; // r8
  _QWORD *v8; // r15
  void **v9; // rcx
  void **v10; // rdx
  unsigned __int64 v11; // r8
  __int64 v12; // r9
  void **v13; // rax
  unsigned __int64 v14; // rcx
  bool v15; // zf
  unsigned int v16; // r13d
  __int64 *v17; // rbx
  wchar_t **v18; // r12
  wchar_t *v19; // rcx
  wchar_t *v20; // rsi
  _QWORD *v21; // rcx
  __int64 *v22; // r12
  _QWORD *v23; // rdx
  __int64 v24; // rsi
  unsigned __int64 v25; // rcx
  unsigned __int64 v26; // rcx
  unsigned __int64 v27; // rdx
  unsigned __int64 v28; // rdx
  _QWORD *v29; // rdx
  unsigned __int64 v30; // rcx
  unsigned __int64 v31; // rcx
  unsigned __int64 v32; // rdx
  unsigned __int64 v33; // rdx
  CDnsClientSubnetRecordsTrie *v34; // rcx
  unsigned __int16 v35; // dx
  void *v36; // rax
  char *v37; // rax
  __int64 v38; // r13
  const wchar_t **v39; // rbx
  int v40; // eax
  wchar_t *v41; // r12
  const wchar_t **v42; // rbx
  unsigned int v43; // r12d
  void *v44; // rcx
  __int64 v45; // rax
  const WCHAR *v46; // r9
  __int64 v47; // rax
  LPCWSTR v48; // r12
  _WORD *v49; // rsi
  wchar_t *v50; // rax
  wchar_t *v51; // rax
  wchar_t *v52; // rcx
  wint_t v53; // r8
  __int64 v54; // rax
  __int64 v55; // rax
  wchar_t *v56; // rax
  wchar_t *v57; // rcx
  wint_t v58; // r8
  __int64 v59; // rax
  __int64 v60; // rax
  unsigned __int16 v61; // ax
  unsigned __int16 v62; // r8
  unsigned __int16 v63; // r9
  unsigned __int16 v64; // cx
  int v65; // r10d
  __int16 v66; // dx
  unsigned __int16 v67; // cx
  int v68; // eax
  unsigned __int64 v69; // rsi
  __int64 v70; // r12
  __int64 v71; // rcx
  _WORD *v72; // rsi
  WCHAR *v73; // rcx
  __int64 v74; // rdx
  __int16 v75; // ax
  unsigned int v76; // r12d
  void *v77; // rcx
  __int64 v78; // rax
  const WCHAR *v79; // r9
  __int64 v80; // rax
  char *v81; // rax
  char *v82; // rsi
  __int64 v83; // rdx
  __int64 v84; // r12
  unsigned int v85; // r8d
  unsigned __int8 *v86; // rdx
  _QWORD *v87; // r12
  __int64 v88; // r8
  unsigned __int64 v89; // rsi
  __int64 v90; // r12
  __int64 v91; // rcx
  struct in_addr *v92; // rsi
  wchar_t *v93; // rax
  const WCHAR *v94; // rcx
  struct in_addr *v95; // rcx
  __int64 v96; // r8
  unsigned __int64 v97; // rsi
  __int64 v98; // r12
  __int64 v99; // rcx
  _WORD *v100; // rsi
  unsigned __int64 v101; // rsi
  __int64 v102; // r12
  __int64 v103; // rcx
  _WORD *v104; // rsi
  unsigned __int64 v105; // rsi
  __int64 v106; // r12
  __int64 v107; // rcx
  char *v108; // rsi
  wchar_t *v109; // rdx
  unsigned __int64 v110; // r8
  CDnsClientSubnetRecordsTrie *v111; // rcx
  unsigned __int16 v112; // dx
  CDnsClientSubnetRecordsTrie *v113; // rcx
  unsigned __int16 v114; // dx
  CDnsClientSubnetRecordsTrie *v115; // rcx
  unsigned __int16 v116; // dx
  unsigned int v118; // [rsp+40h] [rbp-C0h]
  int v119; // [rsp+40h] [rbp-C0h]
  unsigned int j; // [rsp+40h] [rbp-C0h]
  unsigned int v121; // [rsp+40h] [rbp-C0h]
  int v122; // [rsp+40h] [rbp-C0h]
  unsigned int i; // [rsp+40h] [rbp-C0h]
  int v124; // [rsp+40h] [rbp-C0h]
  unsigned int v125; // [rsp+40h] [rbp-C0h]
  int v126; // [rsp+40h] [rbp-C0h]
  unsigned int v127; // [rsp+40h] [rbp-C0h]
  int v128; // [rsp+40h] [rbp-C0h]
  unsigned int k; // [rsp+40h] [rbp-C0h]
  wchar_t *v130; // [rsp+48h] [rbp-B8h] BYREF
  struct in_addr Addr; // [rsp+50h] [rbp-B0h] BYREF
  LPCWSTR Terminator; // [rsp+58h] [rbp-A8h] BYREF
