1.1	Purpose
1.2	Requirements
1.3	Terminology
1.4	Overall Operation
2	Notational Conventions and Generic Grammar
2.1	Notational Conventions and Generic Grammar_Augmented BNF
2.2	Notational Conventions and Generic Grammar_Basic Rules
3	Protocol Parameters
3.1	Protocol Parameters_HTTP Version
3.2	Protocol Parameters_Uniform Resource Identifiers
3.2.1	Protocol Parameters_Uniform Resource Identifiers_General Syntax
3.2.2	Protocol Parameters_Uniform Resource Identifiers_http URL
3.2.3	Protocol Parameters_Uniform Resource Identifiers_URI Comparison
3.3	Protocol Parameters_DateTime Formats
3.3.1	Protocol Parameters_DateTime Formats_Full Date
3.3.2	Protocol Parameters_DateTime Formats_Delta Seconds
3.4	Protocol Parameters_Character Sets
3.4.1	Protocol Parameters_Character Sets_Missing Charset
3.5	Protocol Parameters_Content Codings
3.6	Protocol Parameters_Transfer Codings
3.6.1	Protocol Parameters_Transfer Codings_Chunked Transfer Coding
3.7	Protocol Parameters_Media Types
3.7.1	Protocol Parameters_Media Types_Canonicalization and Text Defaults
3.7.2	Protocol Parameters_Media Types_Multipart Types
3.8	Protocol Parameters_Product Tokens
3.9	Protocol Parameters_Quality Values
3.10	Protocol Parameters_Language Tags
3.11	Protocol Parameters_Entity Tags
3.12	Protocol Parameters_Range Units
4	HTTP Message
4.1	HTTP Message_Message Types
4.2	HTTP Message_Message Headers
4.3	HTTP Message_Message Body
4.4	HTTP Message_Message Length
4.5	HTTP Message_General Header Fields
5	Request
5.1	Request_Request-Line
5.1.1	Request_Request-Line_Method
5.1.2	Request_Request-Line_Request-URI
5.2	Request_The Resource Identified by a Request
5.3	Request_Request Header Fields
6	Response
6.1	Response_Status-Line
6.1.1	Response_Status-Line_Status Code and Reason Phrase
6.2	Response_Response Header Fields
7	Entity
7.1	Entity_Entity Header Fields
7.2	Entity_Entity Body
7.2.1	Entity_Entity Body_Type
7.2.2	Entity_Entity Body_Entity Length
8	Connections
8.1	Connections_Persistent Connections
8.1.1	Connections_Persistent Connections_Purpose
8.1.2	Connections_Persistent Connections_Overall Operation
8.1.2.1	Connections_Persistent Connections_Overall Operation_Negotiation
8.1.2.2	Connections_Persistent Connections_Overall Operation_Pipelining
8.1.3	Connections_Persistent Connections_Proxy Servers
8.1.4	Connections_Persistent Connections_Practical Considerations
8.2	Connections_Message Transmission Requirements
8.2.1	Connections_Message Transmission Requirements_Persistent Connections and Flow Control
8.2.2	Connections_Message Transmission Requirements_Monitoring Connections for Error Status Messages
8.2.3	Connections_Message Transmission Requirements_Use of the 100 (Continue) Status
8.2.4	Connections_Message Transmission Requirements_Client Behavior if Server Prematurely Closes Connection
9	Method Definitions
9.1	Method Definitions_Safe and Idempotent Methods
9.1.1	Method Definitions_Safe and Idempotent Methods_Safe Methods
9.1.2	Method Definitions_Safe and Idempotent Methods_Idempotent Methods
9.2	Method Definitions_OPTIONS
9.3	Method Definitions_GET
9.4	Method Definitions_HEAD
9.5	Method Definitions_POST
9.6	Method Definitions_PUT
9.7	Method Definitions_DELETE
9.8	Method Definitions_TRACE
9.9	Method Definitions_CONNECT
10	Status Code Definitions
10.1	Status Code Definitions_Informational 1xx
10.1.1	Status Code Definitions_Informational 1xx_100 Continue
10.1.2	Status Code Definitions_Informational 1xx_101 Switching Protocols
10.2	Status Code Definitions_Successful 2xx
10.2.1	Status Code Definitions_Successful 2xx_200 OK
10.2.2	Status Code Definitions_Successful 2xx_201 Created
10.2.3	Status Code Definitions_Successful 2xx_202 Accepted
10.2.4	Status Code Definitions_Successful 2xx_203 Non-Authoritative Information
10.2.5	Status Code Definitions_Successful 2xx_204 No Content
10.2.6	Status Code Definitions_Successful 2xx_205 Reset Content
10.2.7	Status Code Definitions_Successful 2xx_206 Partial Content
10.3	Status Code Definitions_Redirection 3xx
10.3.1	Status Code Definitions_Redirection 3xx_300 Multiple Choices
10.3.2	Status Code Definitions_Redirection 3xx_301 Moved Permanently
10.3.3	Status Code Definitions_Redirection 3xx_302 Found
10.3.4	Status Code Definitions_Redirection 3xx_303 See Other
10.3.5	Status Code Definitions_Redirection 3xx_304 Not Modified
10.3.6	Status Code Definitions_Redirection 3xx_305 Use Proxy
10.3.7	Status Code Definitions_Redirection 3xx_306 (Unused)
10.3.8	Status Code Definitions_Redirection 3xx_307 Temporary Redirect
10.4	Status Code Definitions_Client Error 4xx
10.4.1	Status Code Definitions_Client Error 4xx_400 Bad Request
10.4.2	Status Code Definitions_Client Error 4xx_401 Unauthorized
10.4.3	Status Code Definitions_Client Error 4xx_402 Payment Required
10.4.4	Status Code Definitions_Client Error 4xx_403 Forbidden
10.4.5	Status Code Definitions_Client Error 4xx_404 Not Found
10.4.6	Status Code Definitions_Client Error 4xx_405 Method Not Allowed
10.4.7	Status Code Definitions_Client Error 4xx_406 Not Acceptable
10.4.8	Status Code Definitions_Client Error 4xx_407 Proxy Authentication Required
10.4.9	Status Code Definitions_Client Error 4xx_408 Request Timeout
10.4.10	Status Code Definitions_Client Error 4xx_409 Conflict
10.4.11	Status Code Definitions_Client Error 4xx_410 Gone
10.4.12	Status Code Definitions_Client Error 4xx_411 Length Required
10.4.13	Status Code Definitions_Client Error 4xx_412 Precondition Failed
10.4.14	Status Code Definitions_Client Error 4xx_413 Request Entity Too Large
10.4.15	Status Code Definitions_Client Error 4xx_414 Request-URI Too Long
10.4.16	Status Code Definitions_Client Error 4xx_415 Unsupported Media Type
10.4.17	Status Code Definitions_Client Error 4xx_416 Requested Range Not Satisfiable
10.4.18	Status Code Definitions_Client Error 4xx_417 Expectation Failed
10.5	Status Code Definitions_Server Error 5xx
10.5.1	Status Code Definitions_Server Error 5xx_500 Internal Server Error
