index,section,title,construction_rule_type,construction_explicitness,construction_base,processing_rule_type,processing_explicitness,processing_base
1,4.. Handshake Protocol,Message Order and Error Handling,CLI-MSG-CONST/SRV-MSG-CONST,1,"""Protocol messages MUST be sent in the order defined in Section 4.4.1 and illustrated in the diagrams in Section 2.""",SRV-MSG-PROC/CLI-MSG-PROC,1,"""A peer which receives a handshake message in an unexpected order MUST abort the handshake with an 'unexpected_message' alert."""
2,4.1.1.. Handshake Protocol_Key Exchange Messages_Cryptographic Negotiation,Server Parameter Selection,SRV-MSG-CONST,1,"""The server MUST independently select a cipher suite, an (EC)DHE group, a key share, and a signature algorithm/certificate pair if it does not select a PSK.""",SRV-MSG-PROC,1,"""The server MUST abort the handshake with a 'handshake_failure' or 'insufficient_security' alert if there is no overlap in 'supported_groups'."""
3,4.1.1.. Handshake Protocol_Key Exchange Messages_Cryptographic Negotiation,PSK Selection,SRV-MSG-CONST,1,"""When a server selects a PSK, it MUST also select a key establishment mode from the client's 'psk_key_exchange_modes' extension.""",CLI-MSG-PROC,1,"""Clients MUST ensure their 'psk_key_exchange_modes' extension is included to facilitate server's PSK selection."""
4,4.1.1.. Handshake Protocol_Key Exchange Messages_Cryptographic Negotiation,PSK Selection,SRV-MSG-CONST,0,"""If a PSK can be used without (EC)DHE, the non-overlap in 'supported_groups' is not fatal.""",CLI-MSG-PROC,0,"""Clients should not consider non-overlap in 'supported_groups' fatal if PSK is usable without (EC)DHE."""
5,4.1.1.. Handshake Protocol_Key Exchange Messages_Cryptographic Negotiation,HelloRetryRequest Requirement,SRV-MSG-CONST,1,"""If the server selects an (EC)DHE group and the client did not offer a compatible 'key_share', the server MUST send a HelloRetryRequest message.""",CLI-MSG-PROC,0,"""Clients should expect a HelloRetryRequest message if their 'key_share' is not compatible."""
6,4.1.1.. Handshake Protocol_Key Exchange Messages_Cryptographic Negotiation,Handshake Failure Conditions,SRV-MSG-CONST,1,"""The server MUST abort the handshake if it cannot negotiate a supported set of parameters.""",SRV-MSG-PROC,1,"""Upon failure to negotiate parameters, the server MUST send a 'handshake_failure' or 'insufficient_security' fatal alert."""
7,4.1.2.. Handshake Protocol_Key Exchange Messages_Client Hello,ClientHello Message Overview,CLI-MSG-CONST,1,"""Clients MUST send the ClientHello as the first TLS message when connecting to a server. If a HelloRetryRequest is received, the client MUST resend the same ClientHello, modifying only as specified.""",SRV-MSG-PROC,1,"""Servers MUST expect the ClientHello as the first message and MUST handle a HelloRetryRequest by validating the modifications made by the client."""
8,4.1.2.. Handshake Protocol_Key Exchange Messages_Client Hello,ClientHello Message Overview,CLI-MSG-CONST,1,"""Clients MUST replace the list of shares in the ""key_share"" extension with a single KeyShareEntry from the indicated group if specified in the HelloRetryRequest.""",SRV-MSG-PROC,1,"""Servers MUST validate that the ""key_share"" extension contains a single KeyShareEntry as indicated in the HelloRetryRequest."""
9,4.1.2.. Handshake Protocol_Key Exchange Messages_Client Hello,ClientHello Message Overview,CLI-MSG-CONST,1,"""Clients MUST remove the ""early_data"" extension if it was present when sending ClientHello after a HelloRetryRequest.""",SRV-MSG-PROC,1,"""Servers MUST reject any ClientHello that includes the ""early_data"" extension after a HelloRetryRequest."""
10,4.1.2.. Handshake Protocol_Key Exchange Messages_Client Hello,ClientHello Message Overview,CLI-MSG-CONST,1,"""Clients MUST include a ""cookie"" extension if provided in the HelloRetryRequest.""",SRV-MSG-PROC,1,"""Servers MUST process the ""cookie"" extension if present in the ClientHello after a HelloRetryRequest."""
