ID,Title,Content,RuleMatch,ExtractedRule,SlicedRule,Violation
1,Handshake Protocol Overview,"The handshake protocol is used to negotiate the security parameters of a connection. Handshake messages are supplied to the TLS record layer, where they are encapsulated within one or more TLSPlaintext or TLSCiphertext structures which are processed and transmitted as specified by the current active connection state.",0,Skip,Skip,Skip
2,Handshake Message Types,"The enum defines various handshake message types, including client_hello, server_hello, new_session_ticket, end_of_early_data, encrypted_extensions, certificate, certificate_request, certificate_verify, finished, key_update, and message_hash.",0,Skip,Skip,Skip
3,Structure of Handshake Messages,"The struct describes the format of handshake messages, which includes a message type, length, and a selection of message-specific structures based on the message type.",0,Skip,Skip,Skip
4,Order of Protocol Messages,Protocol messages must be sent in the order defined in Section 4.4.1 and shown in the diagrams in Section 2.,1,<CMC> <1> (Clients MUST send protocol messages in the order defined in Section 4.4.1.) + <SMP> <1> (Servers MUST process protocol messages in the order defined in Section 4.4.1.),<CMC> <1> (Clients MUST send protocol messages in the order defined in Section 4.4.1.) + <SMP> <1> (Servers MUST process protocol messages in the order defined in Section 4.4.1.),"```markdown
{CMC} (Send a ClientHello message after a Finished message, violating the required order of protocol messages.)

{CMC} (Include a Certificate message before the ClientHello message in the handshake sequence.)

{CMC} (Send multiple ClientHello messages in succession without waiting for a ServerHello response.)
```"
5,Handling Unexpected Message Orders,"A peer that receives a handshake message in an unexpected order must abort the handshake with an ""unexpected_message"" alert.",1,"<CMC> <1> (Clients MUST abort the handshake with an ""unexpected_message"" alert if they receive a handshake message in an unexpected order.) + <SMP> <1> (Servers MUST abort the handshake with an ""unexpected_message"" alert if they receive a handshake message in an unexpected order.)","<CMC> <1> (Clients MUST abort the handshake with an ""unexpected_message"" alert if they receive a handshake message in an unexpected order.) + <SMP> <1> (Servers MUST abort the handshake with an ""unexpected_message"" alert if they receive a handshake message in an unexpected order.)","```markdown
{CMC} (Send a ClientHello message after an unexpected message type, such as EncryptedExtensions, violating the expected order of handshake messages.)

{CMC} (Send a malformed ClientHello message that omits the mandatory ""cipher_suites"" field, which should trigger an unexpected message response from the server.)

{CMC} (Send a ClientHello message with an invalid session ID, which is not recognized by the server, thus creating an unexpected message scenario.)
```"
6,Assignment of New Message Types,New handshake message types are assigned by IANA as described in Section 11.,0,Skip,Skip,Skip
7,Error,Error: Sending request SendMessageMutation failed.  Error log: RemoteProtocolError('Server disconnected'),0,Skip,Skip,Skip
8,ClientHello Options,"In TLS, the cryptographic negotiation proceeds by the client offering four sets of options in its ClientHello: a list of cipher suites, a ""supported_groups"" extension indicating (EC)DHE groups, a ""signature_algorithms"" extension, and a ""pre_shared_key"" extension with symmetric key identities.",0,Skip,Skip,Skip
9,Server Parameter Selection,"If the server does not select a PSK, it independently selects a cipher suite, (EC)DHE group, key share, and signature algorithm/certificate pair. If there's no overlap in ""supported_groups,"" the handshake must abort with a ""handshake_failure"" or ""insufficient_security"" alert.",1,"<SMC> <1> (Servers MUST independently select a cipher suite, (EC)DHE group, key share, and signature algorithm/certificate pair if no PSK is selected.) + <CMP> <1> (Clients MUST abort the handshake with a ""handshake_failure"" or ""insufficient_security"" alert if there's no overlap in ""supported_groups."")","<SMC> <1> (Servers MUST independently select a cipher suite, (EC)DHE group, key share, and signature algorithm/certificate pair if no PSK is selected.) + <CMP> <1> (Clients MUST abort the handshake with a ""handshake_failure"" or ""insufficient_security"" alert if there's no overlap in ""supported_groups."")","```markdown
{CMC} (Send a ClientHello that includes a cipher suite not supported by the server, causing a lack of overlap in ""supported_groups"".)

{CMC} (Omit the ""supported_groups"" field entirely from the ClientHello message, violating the requirement for the client to specify its supported groups.)

{CMC} (Include an empty ""key_share"" field in the ClientHello message, which is invalid as it must contain at least one key share entry.)
```"
10,PSK and Key Exchange Modes,"If the server selects a PSK, it must also choose a key establishment mode from the client's ""psk_key_exchange_modes"" extension. Non-overlap in ""supported_groups"" is not fatal if PSK can be used without (EC)DHE.",1,"<SMC> <1> (Servers MUST choose a key establishment mode from the client's ""psk_key_exchange_modes"" extension if a PSK is selected.) + <CMP> <0> (Clients MUST allow PSK to be used without (EC)DHE even if there is non-overlap in ""supported_groups"".)","<SMC> <1> (Servers MUST choose a key establishment mode from the client's ""psk_key_exchange_modes"" extension if a PSK is selected.) + <CMP> <0> (Clients MUST allow PSK to be used without (EC)","```markdown
{CMC} (Send a ClientHello without the ""psk_key_exchange_modes"" extension when requesting PSK usage.)

{CMC} (Include an invalid or unsupported value in the ""psk_key_exchange_modes"" extension in the ClientHello.)

{CMC} (Send a ClientHello indicating support for PSK but with a mismatched cipher suite that does not support PSK.)
```"
