ID,Title,Content,RuleMatch,ExtractedRule,SlicedRule,Violation
4,Order of Protocol Messages,Protocol messages must be sent in the order defined in Section 4.4.1 and shown in the diagrams in Section 2.,1,<CMC> <1> (Clients MUST send protocol messages in the order defined in Section 4.4.1.) + <SMP> <1> (Servers MUST process protocol messages in the order defined in Section 4.4.1.),<CMC> <1> (Clients MUST send protocol messages in the order defined in Section 4.4.1.) + <SMP> <1> (Servers MUST process protocol messages in the order defined in Section 4.4.1.),"```markdown
{CMC} (Send a ClientHello message followed by a ServerHello message without waiting for the server's response.)

{CMC} (Send a ClientHello message followed by an ApplicationData message, bypassing the required handshake messages.)

{CMC} (Send multiple ClientHello messages in quick succession without waiting for a response, violating the protocol message ordering.)
```"
5,Handling Unexpected Message Orders,"A peer that receives a handshake message in an unexpected order must abort the handshake with an ""unexpected_message"" alert.",1,"<CMC> <1> (Clients MUST abort the handshake with an ""unexpected_message"" alert if they receive a handshake message in an unexpected order.) + <SMP> <1> (Servers MUST abort the handshake with an ""unexpected_message"" alert if they receive a handshake message in an unexpected order.)","<CMC> <1> (Clients MUST abort the handshake with an ""unexpected_message"" alert if they receive a handshake message in an unexpected order.) + <SMP> <1> (Servers MUST abort the handshake with an ""unexpected_message"" alert if they receive a handshake message in an unexpected order.)","```markdown
{CMC} (Send a ClientHello message followed by a ServerHello message without waiting for a response from the server, violating the expected message order.)

{CMC} (Include a Certificate message in the ClientHello that is only valid for a different protocol version, causing a mismatch in expected message processing.)

{CMC} (Omit the required ""extensions"" field in the ClientHello message entirely, leading to a malformed handshake initiation.)
```"
19,Session ID Echo,"legacy_session_id_echo contains the client's session ID, which must match the client's sent value; otherwise, the handshake is aborted with an ""illegal_parameter"" alert.",1,"<CMC> <1> (Clients' session ID in legacy_session_id_echo MUST match the sent value.) + <SMP> <1> (Servers MUST abort the handshake with an ""illegal_parameter"" alert if the session ID does not match.)","<CMC> <1> (Clients' session ID in legacy_session_id_echo MUST match the sent value.) + <SMP> <1> (Servers MUST abort the handshake with an ""illegal_parameter"" alert if the session ID does not match.)","```markdown
{CMC} (Send a ClientHello with a legacy_session_id_echo that contains a session ID not previously issued by the server.)

{CMC} (Include an empty legacy_session_id_echo field in the ClientHello, violating the requirement for a valid session ID.)

{CMC} (Send a ClientHello with a legacy_session_id_echo containing an arbitrary byte sequence that does not adhere to the session ID format.)
```"
21,Compression Method,The legacy_compression_method field must always have the value 0.,1,<CMC> <1> (Clients MUST set the legacy_compression_method field to 0.) + <SMP> <0> (Servers MUST accept the legacy_compression_method field with the value 0.),<CMC> <1> (Clients MUST set the legacy_compression_method field to 0.) + <SMP> <0> (Servers MUST accept the legacy_compression_method field with the value 0.),"```markdown
{CMC} (Set the legacy_compression_method field to an invalid value, such as 255, which is not defined in the specification.)

{CMC} (Omit the legacy_compression_method field entirely from the ClientHello message.)

{CMC} (Send the legacy_compression_method field as a string instead of an integer value.)
```"
22,Extensions Requirements,"The extensions field must include only those necessary for establishing the cryptographic context and must contain the ""supported_versions"" extension in all TLS 1.3 messages.",1,"```
<CMC> <1> (Clients MUST include only necessary extensions for establishing the cryptographic context and MUST contain the ""supported_versions"" extension in all TLS 1.3 messages.) + <SMP> <1> (Servers MUST process only necessary extensions for establishing the cryptographic context and MUST expect the ""supported_versions"" extension in all TLS 1.3 messages.)
```","<CMC> <1> (Clients MUST include only necessary extensions for establishing the cryptographic context and MUST contain the ""supported_versions"" extension in all TLS 1.3 messages.) + <SMP> <1> (Servers MUST process only necessary extensions for establishing the cryptographic context and MUST expect the ""supported_versions"" extension in all TLS 1.3 messages.)","```markdown
{CMC} (Send a ClientHello message that omits the ""supported_versions"" extension entirely.)

{CMC} (Include an unsupported or invalid extension in the ClientHello message that is not relevant to TLS 1.3.)

{CMC} (Send a ClientHello message with multiple unnecessary extensions that do not pertain to establishing the cryptographic context.)
```"
26,Client Checks for Downgrade,"TLS 1.3 clients must verify the last 8 bytes of the Random value to prevent downgrade attacks, and if a match is found, they must abort the handshake with an ""illegal_parameter"" alert.",1,"<CMC> <1> (Clients MUST verify the last 8 bytes of the Random value to prevent downgrade attacks.) + <SMP> <1> (Clients MUST abort the handshake with an ""illegal_parameter"" alert if a match is found.)","<CMC> <1> (Clients MUST verify the last 8 bytes of the Random value to prevent downgrade attacks.) + <SMP> <1> (Clients MUST abort the handshake with an ""illegal_parameter"" alert if a match is found.)","```markdown
{CMC} (Send a ClientHello with a Random value that has the last 8 bytes set to a known value, allowing potential downgrade attacks.)

{CMC} (Send a ClientHello where the Random value is entirely zeroed out, violating the requirement for entropy in the handshake.)

{CMC} (Send a ClientHello with the Random value containing non-ASCII characters, which is not allowed in the proper encoding.)
```"
27,Renegotiation Handling,"A legacy TLS client receiving a TLS 1.3 ServerHello during renegotiation must abort the handshake with a ""protocol_version"" alert, as renegotiation is not possible in TLS 1.3.",1,"<CMC> <1> (A legacy TLS client MUST abort the handshake with a ""protocol_version"" alert upon receiving a TLS 1.3 ServerHello during renegotiation.) + <SMP> <0> (Servers MUST not expect renegotiation in TLS 1.3.)","<CMC> <1> (A legacy TLS client MUST abort the handshake with a ""protocol_version"" alert upon receiving a TLS 1.3 ServerHello during renegotiation.) + <SMP> <0> (Servers MUST not expect renegotiation in TLS 1.3.)","```markdown
{CMC} (Send a ClientHello message with a legacy protocol version (e.g., TLS 1.2) while initiating a TLS 1.3 handshake)

{CMC} (Omit the required ""ClientHello"" extensions when sending a ClientHello in a TLS 1.3 handshake)

{CMC} (Include an invalid ""Session ID"" field in the ClientHello, exceeding the maximum length permitted by RFC 8446)
```"
30,Client Actions on Hello Retry Request,"Upon receiving a HelloRetryRequest, the client must check specific fields and process the extensions, starting with ""supported_versions."" It must abort the handshake with an ""illegal_parameter"" alert if no changes result from the HelloRetryRequest.",1,"<CMC> <1> (Clients MUST check specific fields and process the extensions upon receiving a HelloRetryRequest, starting with ""supported_versions."") + <CMP> <1> (Clients MUST abort the handshake with an ""illegal_parameter"" alert if no changes result from the HelloRetryRequest.)","<CMC> <1> (Clients MUST check specific fields and process the extensions upon receiving a HelloRetryRequest, starting with ""supported_versions."") + <CMP> <1> (Clients MUST abort the handshake with an ""illegal_parameter"" alert if no changes result from the HelloRetryRequest.)","```markdown
{CMC} (Send a ClientHello message without the ""supported_versions"" extension when responding to a HelloRetryRequest.)

{CMC} (Include a malformed or invalid extension in the ClientHello message after receiving a HelloRetryRequest.)

{CMC} (Omit the required ""key_share"" extension in the ClientHello message after a HelloRetryRequest.)
```"
31,Handling Multiple Hello Retry Requests,"If a client receives a second HelloRetryRequest in the same connection, it must abort the handshake with an ""unexpected_message"" alert.",1,"<CMC> <1> (Clients MUST abort the handshake with an ""unexpected_message"" alert upon receiving a second HelloRetryRequest in the same connection.) + <SMP> <0> (Servers MUST not send a second HelloRetryRequest in the same connection.)","<CMC> <1> (Clients MUST abort the handshake with an ""unexpected_message"" alert upon receiving a second HelloRetryRequest in the same connection.) + <SMP> <0> (Servers MUST not send a second HelloRetryRequest in the same connection.)","```markdown
{CMC} (Send a ClientHello message without including the mandatory ""client_version"" field, violating the required structure of the handshake.)

{CMC} (Send a ClientHello message with an invalid ""key_share"" extension that uses a curve not supported by the server, leading to a malformed key exchange.)

{CMC} (Send a second ClientHello message in the same connection without properly responding to the first HelloRetryRequest, violating the expected flow of the handshake.)
```"
32,Cipher Suite Negotiation,A client must abort the handshake if it receives a cipher suite not offered earlier. Servers must negotiate the same cipher suite when receiving an updated ClientHello.,1,<CMC> <1> (Clients MUST abort the handshake if they receive a cipher suite not offered earlier.) + <SMP> <1> (Servers MUST negotiate the same cipher suite when receiving an updated ClientHello.),<CMC> <1> (Clients MUST abort the handshake if they receive a cipher suite not offered earlier.) + <SMP> <1> (Servers MUST negotiate the same cipher suite when receiving an updated ClientHello.),"```markdown
{CMC} (Send a ClientHello message that includes an unsupported cipher suite, but do not abort the handshake.)

{CMC} (Send a ClientHello message with a cipher suite length field that is larger than the number of offered cipher suites.)

{CMC} (Send a second ClientHello message with a different set of cipher suites after receiving a response, violating the expectation to negotiate the same cipher suite.)
```"
