index,Section,Title,Content
1,4.1.. Handshake Protocol_Key Exchange Messages,Overview of Key Exchange Messages,The handshake protocol key exchange messages are essential for establishing a secure connection between the client and the server. These messages enable both parties to negotiate cryptographic parameters and ensure that the communication remains confidential and authenticated.
2,4.1.. Handshake Protocol_Key Exchange Messages,Key Exchange Message Types,"The key exchange messages in TLS 1.3 include the ClientHello and ServerHello messages. These messages initiate the handshake process, allowing the exchange of supported versions, cipher suites, and other necessary parameters."
3,4.1.. Handshake Protocol_Key Exchange Messages,ClientHello Message,"The ClientHello message is sent by the client to initiate the handshake. It contains information about the client's supported TLS versions, cipher suites, and any extensions it wishes to use for the session."
4,4.1.. Handshake Protocol_Key Exchange Messages,ServerHello Message,"The ServerHello message is sent by the server in response to the ClientHello. It confirms the selected TLS version and cipher suite, and may also include additional parameters necessary for establishing the secure connection."
5,4.1.. Handshake Protocol_Key Exchange Messages,Message Handling and Order,"Key exchange messages must be processed in the order defined by the TLS protocol. Incorrect ordering can lead to handshake failure, requiring the party that receives a message out of order to abort the handshake."
6,4.1.1.. Handshake Protocol_Key Exchange Messages_Cryptographic Negotiation,Cryptographic Negotiation Overview,"The cryptographic negotiation process in TLS 1.3 is critical for establishing secure connections between clients and servers. This process involves selecting appropriate cryptographic parameters, including cipher suites and key exchange methods, to ensure both parties can communicate securely."
7,4.1.1.. Handshake Protocol_Key Exchange Messages_Cryptographic Negotiation,Cipher Suites Selection,"During the handshake, the client sends a list of supported cipher suites in the ClientHello message. The server selects one from this list and includes it in the ServerHello message. The selected cipher suite defines the algorithms for key exchange, encryption, and message authentication."
8,4.1.1.. Handshake Protocol_Key Exchange Messages_Cryptographic Negotiation,Key Exchange Methods,"TLS 1.3 supports various key exchange methods, including (EC)DHE and pre-shared keys (PSK). The choice of key exchange impacts the security level and efficiency of the connection. Each party must ensure the selected method is compatible with their capabilities."
9,4.1.1.. Handshake Protocol_Key Exchange Messages_Cryptographic Negotiation,Supported Versions Extension,The 'supported_versions' extension is crucial for indicating the versions of TLS that the client and server support. It helps prevent downgrade attacks by ensuring that both parties agree on the highest version they can use.
10,4.1.1.. Handshake Protocol_Key Exchange Messages_Cryptographic Negotiation,Error Handling in Negotiation,"If the server cannot agree on a cipher suite or key exchange method, it must abort the handshake with an appropriate alert message, such as 'handshake_failure'. This ensures that both parties only proceed with secure and compatible parameters."
11,4.1.3.. Handshake Protocol_Key Exchange Messages_Server Hello,ServerHello Purpose,The server will send this message in response to a ClientHello message to proceed with the handshake if it is able to negotiate an acceptable set of handshake parameters based on the ClientHello.
12,4.1.3.. Handshake Protocol_Key Exchange Messages_Server Hello,Structure Definition,"struct {
    ProtocolVersion legacy_version = 0x0303;    /* TLS v1.2 */
    Random random;
    opaque legacy_session_id_echo<0..32>;
    CipherSuite cipher_suite;
    uint8 legacy_compression_method = 0;
    Extension extensions<6..2^16-1>;
} ServerHello;"
13,4.1.3.. Handshake Protocol_Key Exchange Messages_Server Hello,Legacy Version Field,"In previous versions of TLS, this field was used for version negotiation and represented the selected version number for the connection. Unfortunately, some middleboxes fail when presented with new values. In TLS 1.3, the TLS server indicates its version using the ""supported_versions"" extension (Section 4.2.1), and the legacy_version field MUST be set to 0x0303, which is the version number for TLS 1.2. (See Appendix D for details about backward compatibility.)"
14,4.1.3.. Handshake Protocol_Key Exchange Messages_Server Hello,Random Field Requirements,"32 bytes generated by a secure random number generator. See Appendix C for additional information. The last 8 bytes MUST be overwritten as described below if negotiating TLS 1.2 or TLS 1.1, but the remaining bytes MUST be random. This structure is generated by the server and MUST be generated independently of the ClientHello.random."
15,4.1.3.. Handshake Protocol_Key Exchange Messages_Server Hello,Session ID Echo Requirements,"The contents of the client's legacy_session_id field. Note that this field is echoed even if the client's value corresponded to a cached pre-TLS 1.3 session which the server has chosen not to resume. A client which receives a legacy_session_id_echo field that does not match what it sent in the ClientHello MUST abort the handshake with an ""illegal_parameter"" alert."
16,4.1.3.. Handshake Protocol_Key Exchange Messages_Server Hello,Cipher Suite Selection,"The single cipher suite selected by the server from the list in ClientHello.cipher_suites. A client which receives a cipher suite that was not offered MUST abort the handshake with an ""illegal_parameter"" alert."
17,4.1.3.. Handshake Protocol_Key Exchange Messages_Server Hello,Extensions Requirements,"A list of extensions. The ServerHello MUST only include extensions which are required to establish the cryptographic context and negotiate the protocol version. All TLS 1.3 ServerHello messages MUST contain the ""supported_versions"" extension. Current ServerHello messages additionally contain either the ""pre_shared_key"" extension or the ""key_share"" extension, or both (when using a PSK with (EC)DHE key establishment). Other extensions (see Section 4.2) are sent separately in the EncryptedExtensions message."
