index,Section,Title,Content,result
1,4.. Handshake Protocol,Message Order and Error Handling,"Protocol messages MUST be sent in the order defined in Section 4.4.1 and shown in the diagrams in Section 2. A peer which receives a handshake message in an unexpected order MUST abort the handshake with an ""unexpected_message"" alert.","""[
  {
    ""section"": ""4.. Handshake Protocol"",
    ""title"": ""Message Order and Error Handling"",
    ""message_construction"": {
      ""construction_rule_type"": ""CLI-MSG-CONST/SRV-MSG-CONST"",
      ""construction_explicitness"": 1,
      ""construction_base"": ""Protocol messages MUST be sent in the order defined in Section 4.4.1 and illustrated in the diagrams in Section 2.""
    },
    ""message_processing"": { 
      ""processing_rule_type"": ""SRV-MSG-PROC/CLI-MSG-PROC"",
      ""processing_explicitness"": 1, 
      ""processing_base"": ""A peer which receives a handshake message in an unexpected order MUST abort the handshake with an 'unexpected_message' alert.""
    }
  }
]"""
2,4.1.1.. Handshake Protocol_Key Exchange Messages_Cryptographic Negotiation,Server Parameter Selection,"If the server does not select a PSK, it independently selects a cipher suite, an (EC)DHE group and key share, and a signature algorithm/certificate pair. If there is no overlap in 'supported_groups', the server MUST abort the handshake with a 'handshake_failure' or 'insufficient_security' alert.","""[
  {
    ""section"": ""4.1.1.. Handshake Protocol_Key Exchange Messages_Cryptographic Negotiation"",
    ""title"": ""Server Parameter Selection"",
    ""message_construction"": {
      ""construction_rule_type"": ""SRV-MSG-CONST"",
      ""construction_explicitness"": 1,
      ""construction_base"": ""The server MUST independently select a cipher suite, an (EC)DHE group, a key share, and a signature algorithm/certificate pair if it does not select a PSK.""
    },
    ""message_processing"": {
      ""processing_rule_type"": ""SRV-MSG-PROC"",
      ""processing_explicitness"": 1,
      ""processing_base"": ""The server MUST abort the handshake with a 'handshake_failure' or 'insufficient_security' alert if there is no overlap in 'supported_groups'.""
    }
  }
]"""
3,4.1.1.. Handshake Protocol_Key Exchange Messages_Cryptographic Negotiation,PSK Selection,"If the server selects a PSK, it MUST also select a key establishment mode from the client's 'psk_key_exchange_modes' extension. If the PSK can be used without (EC)DHE, non-overlap in 'supported_groups' is not fatal.","""[
  {
    ""section"": ""4.1.1.. Handshake Protocol_Key Exchange Messages_Cryptographic Negotiation"",
    ""title"": ""PSK Selection"",
    ""message_construction"": {
      ""construction_rule_type"": ""SRV-MSG-CONST"",
      ""construction_explicitness"": 1,
      ""construction_base"": ""When a server selects a PSK, it MUST also select a key establishment mode from the client's 'psk_key_exchange_modes' extension.""
    },
    ""message_processing"": { 
      ""processing_rule_type"": ""CLI-MSG-PROC"",
      ""processing_explicitness"": 1, 
      ""processing_base"": ""Clients MUST ensure their 'psk_key_exchange_modes' extension is included to facilitate server's PSK selection.""
    }
  },
  {
    ""section"": ""4.1.1.. Handshake Protocol_Key Exchange Messages_Cryptographic Negotiation"",
    ""title"": ""PSK Selection"",
    ""message_construction"": {
      ""construction_rule_type"": ""SRV-MSG-CONST"",
      ""construction_explicitness"": 0,
      ""construction_base"": ""If a PSK can be used without (EC)DHE, the non-overlap in 'supported_groups' is not fatal.""
    },
    ""message_processing"": { 
      ""processing_rule_type"": ""CLI-MSG-PROC"",
      ""processing_explicitness"": 0, 
      ""processing_base"": ""Clients should not consider non-overlap in 'supported_groups' fatal if PSK is usable without (EC)DHE.""
    }
  }
]"""
4,4.1.1.. Handshake Protocol_Key Exchange Messages_Cryptographic Negotiation,HelloRetryRequest Requirement,"If the server selects an (EC)DHE group and the client did not offer a compatible 'key_share', the server MUST respond with a HelloRetryRequest message.","""[
  {
    ""section"": ""4.1.1.. Handshake Protocol_Key Exchange Messages_Cryptographic Negotiation"",
    ""title"": ""HelloRetryRequest Requirement"",
    ""message_construction"": {
      ""construction_rule_type"": ""SRV-MSG-CONST"",
      ""construction_explicitness"": 1,
      ""construction_base"": ""If the server selects an (EC)DHE group and the client did not offer a compatible 'key_share', the server MUST send a HelloRetryRequest message.""
    },
    ""message_processing"": { 
      ""processing_rule_type"": ""CLI-MSG-PROC"",
      ""processing_explicitness"": 0, 
      ""processing_base"": ""Clients should expect a HelloRetryRequest message if their 'key_share' is not compatible.""
    }
  }
]"""
5,4.1.1.. Handshake Protocol_Key Exchange Messages_Cryptographic Negotiation,Handshake Failure Conditions,"If the server is unable to negotiate a supported set of parameters, it MUST abort the handshake with a 'handshake_failure' or 'insufficient_security' fatal alert.","""[
  {
    ""section"": ""4.1.1.. Handshake Protocol_Key Exchange Messages_Cryptographic Negotiation"",
    ""title"": ""Handshake Failure Conditions"",
    ""message_construction"": {
      ""construction_rule_type"": ""SRV-MSG-CONST"",
      ""construction_explicitness"": 1,
      ""construction_base"": ""The server MUST abort the handshake if it cannot negotiate a supported set of parameters.""
    },
    ""message_processing"": {
      ""processing_rule_type"": ""SRV-MSG-PROC"",
      ""processing_explicitness"": 1,
      ""processing_base"": ""Upon failure to negotiate parameters, the server MUST send a 'handshake_failure' or 'insufficient_security' fatal alert.""
    }
  }
]"""
6,4.1.2.. Handshake Protocol_Key Exchange Messages_Client Hello,ClientHello Message Overview,"When a client first connects to a server, it is REQUIRED to send the ClientHello as its first TLS message. The client will also send a ClientHello when the server has responded to its ClientHello with a HelloRetryRequest. In that case, the client MUST send the same ClientHello without modification, except as follows: - If a ""key_share"" extension was supplied in the HelloRetryRequest, replacing the list of shares with a list containing a single KeyShareEntry from the indicated group. - Removing the ""early_data"" extension if one was present. Early data is not permitted after a HelloRetryRequest. - Including a ""cookie"" extension if one was provided in the HelloRetryRequest. - Updating the ""pre_shared_key"" extension if present by recomputing the ""obfuscated_ticket_age"" and binder values and (optionally) removing any PSKs which are incompatible with the server's indicated cipher suite. - Optionally adding, removing, or changing the length of the ""padding"" extension [RFC7685]. - Other modifications that may be allowed by an extension defined in the future and present in the HelloRetryRequest.","""[
  {
    ""section"": ""4.1.2.. Handshake Protocol_Key Exchange Messages_Client Hello"",
    ""title"": ""ClientHello Message Overview"",
    ""message_construction"": {
      ""construction_rule_type"": ""CLI-MSG-CONST"",
      ""construction_explicitness"": 1,
      ""construction_base"": ""Clients MUST send the ClientHello as the first TLS message when connecting to a server. If a HelloRetryRequest is received, the client MUST resend the same ClientHello, modifying only as specified.""
    },
    ""message_processing"": { 
      ""processing_rule_type"": ""SRV-MSG-PROC"",
      ""processing_explicitness"": 1, 
      ""processing_base"": ""Servers MUST expect the ClientHello as the first message and MUST handle a HelloRetryRequest by validating the modifications made by the client.""
    }
  },
  {
    ""section"": ""4.1.2.. Handshake Protocol_Key Exchange Messages_Client Hello"",
    ""title"": ""ClientHello Message Overview"",
    ""message_construction"": {
      ""construction_rule_type"": ""CLI-MSG-CONST"",
      ""construction_explicitness"": 1,
      ""construction_base"": ""Clients MUST replace the list of shares in the \""key_share\"" extension with a single KeyShareEntry from the indicated group if specified in the HelloRetryRequest.""
    },
    ""message_processing"": { 
      ""processing_rule_type"": ""SRV-MSG-PROC"",
      ""processing_explicitness"": 1, 
      ""processing_base"": ""Servers MUST validate that the \""key_share\"" extension contains a single KeyShareEntry as indicated in the HelloRetryRequest.""
    }
  },
  {
    ""section"": ""4.1.2.. Handshake Protocol_Key Exchange Messages_Client Hello"",
    ""title"": ""ClientHello Message Overview"",
    ""message_construction"": {
      ""construction_rule_type"": ""CLI-MSG-CONST"",
      ""construction_explicitness"": 1,
      ""construction_base"": ""Clients MUST remove the \""early_data\"" extension if it was present when sending ClientHello after a HelloRetryRequest.""
    },
    ""message_processing"": { 
      ""processing_rule_type"": ""SRV-MSG-PROC"",
      ""processing_explicitness"": 1, 
      ""processing_base"": ""Servers MUST reject any ClientHello that includes the \""early_data\"" extension after a HelloRetryRequest.""
    }
  },
  {
    ""section"": ""4.1.2.. Handshake Protocol_Key Exchange Messages_Client Hello"",
    ""title"": ""ClientHello Message Overview"",
    ""message_construction"": {
      ""construction_rule_type"": ""CLI-MSG-CONST"",
      ""construction_explicitness"": 1,
      ""construction_base"": ""Clients MUST include a \""cookie\"" extension if provided in the HelloRetryRequest.""
    },
    ""message_processing"": { 
      ""processing_rule_type"": ""SRV-MSG-PROC"",
      ""processing_explicitness"": 1, 
      ""processing_base"": ""Servers MUST process the \""cookie\"" extension if present in the ClientHello after a HelloRetryRequest.""
    }
  },
  {
    ""section"": ""4.1.2.. Handshake Protocol_Key Exchange Messages_Client Hello"",
    ""title"": ""ClientHello Message Overview"",
    ""message_construction"": {
      ""construction_rule_type"": ""CLI-MSG-CONST"",
      ""construction_explicitness"": 1,
      ""construction_base"": ""Clients MUST update the \""pre_shared_key\"" extension by recomputing the \""obfuscated_ticket_age\"" and binder values, and may remove incompatible PSKs as indicated by the server's cipher suite.""
    },
    ""message_processing"": { 
      ""processing_rule_type"": ""SRV-MSG-PROC"",
      ""processing_explicitness"": 1, 
      ""processing_base"": ""Servers MUST validate the updated \""pre_shared_key\"" extension for correctness according to the cipher suite.""
    }
  },
  {
    ""section"": ""4.1.2.. Handshake Protocol_Key Exchange Messages_Client Hello"",
    ""title"": ""ClientHello Message Overview"",
    ""message_construction"": {
      ""construction_rule_type"": ""CLI-MSG-CONST"",
      ""construction_explicitness"": 0,
      ""construction_base"": ""Clients MAY optionally add, remove, or change the length of the \""padding\"" extension.""
    },
    ""message_processing"": { 
      ""processing_rule_type"": ""SRV-MSG-PROC"",
      ""processing_explicitness"": 0, 
      ""processing_base"": ""Servers MAY handle modifications to the \""padding\"" extension as specified by the client.""
    }
  }
]"""
7,4.1.2.. Handshake Protocol_Key Exchange Messages_Client Hello,Connection Termination Rules,"Because TLS 1.3 forbids renegotiation, if a server has negotiated TLS 1.3 and receives a ClientHello at any other time, it MUST terminate the connection with an ""unexpected_message"" alert. If a server established a TLS connection with a previous version of TLS and receives a TLS 1.3 ClientHello in a renegotiation, it MUST retain the previous protocol version. In particular, it MUST NOT negotiate TLS 1.3.","""[
  {
    ""section"": ""4.1.2.. Handshake Protocol_Key Exchange Messages_Client Hello"",
    ""title"": ""Connection Termination Rules"",
    ""message_construction"": {
      ""construction_rule_type"": ""SRV-MSG-CONST"",
      ""construction_explicitness"": 1,
      ""construction_base"": ""Servers MUST terminate the connection with an 'unexpected_message' alert if they receive a ClientHello after negotiating TLS 1.3.""
    },
    ""message_processing"": { 
      ""processing_rule_type"": ""SRV-MSG-PROC"",
      ""processing_explicitness"": 1, 
      ""processing_base"": ""Servers MUST retain the previous protocol version if a TLS 1.3 ClientHello is received during a renegotiation of a prior TLS version, and MUST NOT negotiate TLS 1.3.""
    }
  }
]"""
8,4.1.2.. Handshake Protocol_Key Exchange Messages_Client Hello,Field Descriptions,"1. legacy_version: Set to 0x0303 (TLS v1.2) for compatibility with middleboxes. The actual version is indicated using the ""supported_versions"" extension. 2. random: 32 bytes generated by a secure random number generator. 3. legacy_session_id: A cached session ID from a pre-TLS 1.3 server, or a new unpredictable value if none exists. 4. cipher_suites: A list of symmetric cipher options supported by the client. 5. legacy_compression_methods: Must contain exactly one byte, set to zero. 6. extensions: Clients request extended functionality from servers by sending data in the extensions field.","""[
  {
    ""section"": ""4.1.2.. Handshake Protocol_Key Exchange Messages_Client Hello"",
    ""title"": ""Field Descriptions"",
    ""message_construction"": {
      ""construction_rule_type"": ""CLI-MSG-CONST"",
      ""construction_explicitness"": 1,
      ""construction_base"": ""The 'legacy_version' field MUST be set to 0x0303 for compatibility with middleboxes; the actual version is indicated using the 'supported_versions' extension.""
    },
    ""message_processing"": { 
      ""processing_rule_type"": ""SRV-MSG-PROC"",
      ""processing_explicitness"": 1, 
      ""processing_base"": ""Servers MUST accept 'legacy_version' set to 0x0303 and refer to the 'supported_versions' extension for the actual version.""
    }
  },
  {
    ""section"": ""4.1.2.. Handshake Protocol_Key Exchange Messages_Client Hello"",
    ""title"": ""Field Descriptions"",
    ""message_construction"": {
      ""construction_rule_type"": ""CLI-MSG-CONST"",
      ""construction_explicitness"": 1,
      ""construction_base"": ""The 'random' field MUST contain 32 bytes generated by a secure random number generator.""
    },
    ""message_processing"": { 
      ""processing_rule_type"": ""SRV-MSG-PROC"",
      ""processing_explicitness"": 1, 
      ""processing_base"": ""Servers MUST validate that the 'random' field contains 32 bytes.""
    }
  },
  {
    ""section"": ""4.1.2.. Handshake Protocol_Key Exchange Messages_Client Hello"",
    ""title"": ""Field Descriptions"",
    ""message_construction"": {
      ""construction_rule_type"": ""CLI-MSG-CONST"",
      ""construction_explicitness"": 1,
      ""construction_base"": ""The 'legacy_session_id' field MUST be either a cached session ID from a pre-TLS 1.3 server or a new unpredictable value if none exists.""
    },
    ""message_processing"": { 
      ""processing_rule_type"": ""SRV-MSG-PROC"",
      ""processing_explicitness"": 1, 
      ""processing_base"": ""Servers MUST handle 'legacy_session_id' by accepting either a cached session ID or a new unpredictable value.""
    }
  },
  {
    ""section"": ""4.1.2.. Handshake Protocol_Key Exchange Messages_Client Hello"",
    ""title"": ""Field Descriptions"",
    ""message_construction"": {
      ""construction_rule_type"": ""CLI-MSG-CONST"",
      ""construction_explicitness"": 1,
      ""construction_base"": ""The 'cipher_suites' field MUST contain a list of symmetric cipher options supported by the client.""
    },
    ""message_processing"": { 
      ""processing_rule_type"": ""SRV-MSG-PROC"",
      ""processing_explicitness"": 1, 
      ""processing_base"": ""Servers MUST validate the 'cipher_suites' field to ensure it contains supported symmetric cipher options.""
    }
  },
  {
    ""section"": ""4.1.2.. Handshake Protocol_Key Exchange Messages_Client Hello"",
    ""title"": ""Field Descriptions"",
    ""message_construction"": {
      ""construction_rule_type"": ""CLI-MSG-CONST"",
      ""construction_explicitness"": 1,
      ""construction_base"": ""The 'legacy_compression_methods' field MUST contain exactly one byte, set to zero.""
    },
    ""message_processing"": { 
      ""processing_rule_type"": ""SRV-MSG-PROC"",
      ""processing_explicitness"": 1, 
      ""processing_base"": ""Servers MUST check that the 'legacy_compression_methods' field contains exactly one byte, set to zero.""
    }
  },
  {
    ""section"": ""4.1.2.. Handshake Protocol_Key Exchange Messages_Client Hello"",
    ""title"": ""Field Descriptions"",
    ""message_construction"": {
      ""construction_rule_type"": ""CLI-MSG-CONST"",
      ""construction_explicitness"": 1,
      ""construction_base"": ""The 'extensions' field is used by clients to request extended functionality from servers.""
    },
    ""message_processing"": { 
      ""processing_rule_type"": ""SRV-MSG-PROC"",
      ""processing_explicitness"": 1, 
      ""processing_base"": ""Servers MUST process the 'extensions' field to fulfill the extended functionality requests from clients.""
    }
  }
]"""
9,4.1.2.. Handshake Protocol_Key Exchange Messages_Client Hello,Extension Handling,"Clients request extended functionality from servers by sending data in the extensions field. In TLS 1.3, the use of certain extensions is mandatory, and servers MUST ignore unrecognized extensions. TLS 1.3 ClientHello messages always contain extensions, minimally the ""supported_versions"" extension.","""[
  {
    ""section"": ""4.1.2.. Handshake Protocol_Key Exchange Messages_Client Hello"",
    ""title"": ""Extension Handling"",
    ""message_construction"": {
      ""construction_rule_type"": ""CLI-MSG-CONST"",
      ""construction_explicitness"": 1,
      ""construction_base"": ""Clients MUST include extensions in ClientHello messages, with at least the 'supported_versions' extension.""
    },
    ""message_processing"": { 
      ""processing_rule_type"": ""SRV-MSG-PROC"",
      ""processing_explicitness"": 1, 
      ""processing_base"": ""Servers MUST ignore any unrecognized extensions in ClientHello messages.""
    }
  },
  {
    ""section"": ""4.1.2.. Handshake Protocol_Key Exchange Messages_Client Hello"",
    ""title"": ""Extension Handling"",
    ""message_construction"": {
      ""construction_rule_type"": ""CLI-MSG-CONST"",
      ""construction_explicitness"": 1,
      ""construction_base"": ""Clients MUST include mandatory extensions as specified in the TLS 1.3 protocol.""
    },
    ""message_processing"": { 
      ""processing_rule_type"": ""SRV-MSG-PROC"",
      ""processing_explicitness"": 1, 
      ""processing_base"": ""Servers MUST process ClientHello messages while adhering to the mandatory extension requirements.""
    }
  }
]"""
10,4.1.3.. Handshake Protocol_Key Exchange Messages_Server Hello,Field Descriptions,"1. **legacy_version**: Set to 0x0303 (TLS v1.2) for compatibility with middleboxes. The actual version is indicated using the ""supported_versions"" extension.

2. **random**: 32 bytes generated by a secure random number generator. The last 8 bytes must be overwritten if negotiating TLS 1.2 or TLS 1.1, while the rest must be random.

3. **legacy_session_id_echo**: Echoes the client's legacy_session_id. If this does not match the client's sent value, the handshake must abort with an ""illegal_parameter"" alert.

4. **cipher_suite**: The selected cipher suite from the ClientHello. If not offered, the handshake must abort with an ""illegal_parameter"" alert.

5. **legacy_compression_method**: Must be set to 0.

6. **extensions**: Must include only those necessary for establishing the cryptographic context. All TLS 1.3 ServerHello messages must contain the ""supported_versions"" extension.","""[
  {
    ""section"": ""4.1.3.. Handshake Protocol_Key Exchange Messages_Server Hello"",
    ""title"": ""Field Descriptions"",
    ""message_construction"": {
      ""construction_rule_type"": ""SRV-MSG-CONST"",
      ""construction_explicitness"": 1,
      ""construction_base"": ""The legacy_version field MUST be set to 0x0303 for compatibility with middleboxes.""
    },
    ""message_processing"": {
      ""processing_rule_type"": ""CLI-MSG-PROC"",
      ""processing_explicitness"": 1,
      ""processing_base"": ""Clients MUST recognize that the actual version is indicated using the supported_versions extension.""
    }
  },
  {
    ""section"": ""4.1.3.. Handshake Protocol_Key Exchange Messages_Server Hello"",
    ""title"": ""Field Descriptions"",
    ""message_construction"": {
      ""construction_rule_type"": ""SRV-MSG-CONST"",
      ""construction_explicitness"": 1,
      ""construction_base"": ""The random field MUST consist of 32 bytes generated by a secure random number generator, with the last 8 bytes overwritten if negotiating TLS 1.2 or TLS 1.1.""
    },
    ""message_processing"": {
      ""processing_rule_type"": ""CLI-MSG-PROC"",
      ""processing_explicitness"": 1,
      ""processing_base"": ""Clients MUST ensure random bytes are provided according to the specified rules.""
    }
  },
  {
    ""section"": ""4.1.3.. Handshake Protocol_Key Exchange Messages_Server Hello"",
    ""title"": ""Field Descriptions"",
    ""message_construction"": {
      ""construction_rule_type"": ""SRV-MSG-CONST"",
      ""construction_explicitness"": 1,
      ""construction_base"": ""The legacy_session_id_echo field MUST echo the client's legacy_session_id. If it does not match, the handshake MUST abort with an illegal_parameter alert.""
    },
    ""message_processing"": {
      ""processing_rule_type"": ""CLI-MSG-PROC"",
      ""processing_explicitness"": 1,
      ""processing_base"": ""Clients MUST abort the handshake if the legacy_session_id_echo does not match the sent value.""
    }
  },
  {
    ""section"": ""4.1.3.. Handshake Protocol_Key Exchange Messages_Server Hello"",
    ""title"": ""Field Descriptions"",
    ""message_construction"": {
      ""construction_rule_type"": ""SRV-MSG-CONST"",
      ""construction_explicitness"": 1,
      ""construction_base"": ""The cipher_suite field MUST contain a selected cipher suite from the ClientHello. If not offered, the handshake MUST abort with an illegal_parameter alert.""
    },
    ""message_processing"": {
      ""processing_rule_type"": ""CLI-MSG-PROC"",
      ""processing_explicitness"": 1,
      ""processing_base"": ""Clients MUST recognize and abort if the selected cipher suite is not offered.""
    }
  },
  {
    ""section"": ""4.1.3.. Handshake Protocol_Key Exchange Messages_Server Hello"",
    ""title"": ""Field Descriptions"",
    ""message_construction"": {
      ""construction_rule_type"": ""SRV-MSG-CONST"",
      ""construction_explicitness"": 1,
      ""construction_base"": ""The legacy_compression_method field MUST be set to 0.""
    },
    ""message_processing"": {
      ""processing_rule_type"": ""CLI-MSG-PROC"",
      ""processing_explicitness"": 1,
      ""processing_base"": ""Clients MUST ensure the legacy_compression_method is set to 0.""
    }
  },
  {
    ""section"": ""4.1.3.. Handshake Protocol_Key Exchange Messages_Server Hello"",
    ""title"": ""Field Descriptions"",
    ""message_construction"": {
      ""construction_rule_type"": ""SRV-MSG-CONST"",
      ""construction_explicitness"": 1,
      ""construction_base"": ""The extensions field MUST include only those necessary for establishing the cryptographic context and MUST contain the supported_versions extension.""
    },
    ""message_processing"": {
      ""processing_rule_type"": ""CLI-MSG-PROC"",
      ""processing_explicitness"": 1,
      ""processing_base"": ""Clients MUST ensure that only necessary extensions are included in the message.""
    }
  }
]"""
