ID,Title,Content,RuleMatch,ExtractedRule,SlicedRule
1,Handshake Protocol Overview,"The handshake protocol is used to negotiate the security parameters of a connection. Handshake messages are supplied to the TLS record layer, where they are encapsulated within one or more TLSPlaintext or TLSCiphertext structures which are processed and transmitted as specified by the current active connection state.",0,Skip,Skip
2,Handshake Message Types,"The enum defines various handshake message types, including client_hello, server_hello, new_session_ticket, end_of_early_data, encrypted_extensions, certificate, certificate_request, certificate_verify, finished, key_update, and message_hash.",0,Skip,Skip
3,Structure of Handshake Messages,"The struct describes the format of handshake messages, which includes a message type, length, and a selection of message-specific structures based on the message type.",0,Skip,Skip
4,Order of Protocol Messages,Protocol messages must be sent in the order defined in Section 4.4.1 and shown in the diagrams in Section 2.,1,<CMC> <1> (Clients MUST send protocol messages in the order defined in Section 4.4.1.) + <SMP> <1> (Servers MUST process protocol messages in the order defined in Section 4.4.1.),<CMC> <1> (Clients MUST send protocol messages in the order defined in Section 4.4.1.) + <SMP> <1> (Servers MUST process protocol messages in the order defined in Section 4.4.1.)
5,Handling Unexpected Message Orders,"A peer that receives a handshake message in an unexpected order must abort the handshake with an ""unexpected_message"" alert.",1,"<CMC> <1> (Clients MUST abort the handshake with an ""unexpected_message"" alert if they receive a handshake message in an unexpected order.) + <SMP> <1> (Servers MUST abort the handshake with an ""unexpected_message"" alert if they receive a handshake message in an unexpected order.)","<CMC> <1> (Clients MUST abort the handshake with an ""unexpected_message"" alert if they receive a handshake message in an unexpected order.) + <SMP> <1> (Servers MUST abort the handshake with an ""unexpected_message"" alert if they receive a handshake message in an unexpected order.)"
6,Assignment of New Message Types,New handshake message types are assigned by IANA as described in Section 11.,0,Skip,Skip
7,Error,Error: Sending request SendMessageMutation failed.  Error log: RemoteProtocolError('Server disconnected'),0,Skip,Skip
8,ClientHello Options,"In TLS, the cryptographic negotiation proceeds by the client offering four sets of options in its ClientHello: a list of cipher suites, a ""supported_groups"" extension indicating (EC)DHE groups, a ""signature_algorithms"" extension, and a ""pre_shared_key"" extension with symmetric key identities.",0,Skip,Skip
9,Server Parameter Selection,"If the server does not select a PSK, it independently selects a cipher suite, (EC)DHE group, key share, and signature algorithm/certificate pair. If there's no overlap in ""supported_groups,"" the handshake must abort with a ""handshake_failure"" or ""insufficient_security"" alert.",1,"<SMC> <1> (Servers MUST independently select a cipher suite, (EC)DHE group, key share, and signature algorithm/certificate pair if no PSK is selected.) + <CMP> <1> (Clients MUST abort the handshake with a ""handshake_failure"" or ""insufficient_security"" alert if there's no overlap in ""supported_groups."")","<SMC> <1> (Servers MUST independently select a cipher suite, (EC)DHE group, key share, and signature algorithm/certificate pair if no PSK is selected.) + <CMP> <1> (Clients MUST abort the handshake with a ""handshake_failure"" or ""insufficient_security"" alert if there's no overlap in ""supported_groups."")"
10,PSK and Key Exchange Modes,"If the server selects a PSK, it must also choose a key establishment mode from the client's ""psk_key_exchange_modes"" extension. Non-overlap in ""supported_groups"" is not fatal if PSK can be used without (EC)DHE.",1,"<SMC> <1> (Servers MUST choose a key establishment mode from the client's ""psk_key_exchange_modes"" extension if a PSK is selected.) + <CMP> <0> (Clients MUST allow PSK to be used without (EC)DHE even if there is non-overlap in ""supported_groups"".)","<SMC> <1> (Servers MUST choose a key establishment mode from the client's ""psk_key_exchange_modes"" extension if a PSK is selected.) + <CMP> <0> (Clients MUST allow PSK to be used without (EC)"
11,HelloRetryRequest Requirement,"If the server selects an (EC)DHE group without a compatible ""key_share"" from the client, it must respond with a HelloRetryRequest message.",1,"<SMC> <1> (Servers MUST respond with a HelloRetryRequest if an (EC)DHE group is selected without a compatible ""key_share"" from the client.) + <CMP> <0> (Clients MUST handle a HelloRetryRequest from the server when a compatible ""key_share"" is not provided.)","<SMC> <1> (Servers MUST respond with a HelloRetryRequest if an (EC)DHE group is selected without a compatible ""key_share"" from the client.) + <CMP> <0> (Clients MUST handle a HelloRetryRequest from the server when a compatible ""key_share"" is not provided.)"
12,ServerHello Parameter Indication,"Upon successful parameter selection, the server indicates the selected parameters in the ServerHello, sending a ""pre_shared_key"" extension if PSK is used, and a ""key_share"" extension when (EC)DHE is in use. Authentication via certificate involves sending Certificate and CertificateVerify messages.",0,Skip,Skip
13,Handshake Abortion Conditions,"If the server fails to negotiate a supported set of parameters, it must abort the handshake with either a ""handshake_failure"" or ""insufficient_security"" fatal alert.",1,"<SMC> <1> (Servers MUST abort the handshake with either a ""handshake_failure"" or ""insufficient_security"" fatal alert if they fail to negotiate a supported set of parameters.) + <CMP> <0> (Clients MUST be prepared to handle a ""handshake_failure"" or ""insufficient_security"" fatal alert during the handshake.)","<SMC> <1> (Servers MUST abort the handshake with either a ""handshake_failure"" or ""insufficient_security"" fatal alert if they fail to negotiate a supported set of parameters.) + <CMP> <0> (Clients MUST be prepared to handle a ""handshake_failure"" or ""insufficient_security"" fatal alert during the handshake.)"
14,Error,Error: Sending request SendMessageMutation failed.  Error log: RemoteProtocolError('Server disconnected'),0,Skip,Skip
15,Server Hello Response,The server sends the ServerHello message in response to a ClientHello message to proceed with the handshake if it can negotiate acceptable handshake parameters.,0,Skip,Skip
16,Structure of ServerHello Message,"The ServerHello message structure includes fields for legacy_version, random, legacy_session_id_echo, cipher_suite, legacy_compression_method, and extensions.",0,Skip,Skip
17,Legacy Version Explanation,"The legacy_version field was previously used for version negotiation but is now set to 0x0303 for TLS 1.2. TLS 1.3 servers indicate their version using the ""supported_versions"" extension.",0,Skip,Skip
18,Random Value Generation,"The random field consists of 32 bytes generated by a secure random number generator, with specific requirements on the last 8 bytes based on the negotiated TLS version.",0,Skip,Skip
19,Session ID Echo,"legacy_session_id_echo contains the client's session ID, which must match the client's sent value; otherwise, the handshake is aborted with an ""illegal_parameter"" alert.",1,"<CMC> <1> (Clients' session ID in legacy_session_id_echo MUST match the sent value.) + <SMP> <1> (Servers MUST abort the handshake with an ""illegal_parameter"" alert if the session ID does not match.)","<CMC> <1> (Clients' session ID in legacy_session_id_echo MUST match the sent value.) + <SMP> <1> (Servers MUST abort the handshake with an ""illegal_parameter"" alert if the session ID does not match.)"
20,Cipher Suite Selection,"The cipher_suite field contains the single cipher suite selected by the server from the client's offered list, and a mismatch results in an ""illegal_parameter"" alert.",0,Skip,Skip
21,Compression Method,The legacy_compression_method field must always have the value 0.,1,<CMC> <1> (Clients MUST set the legacy_compression_method field to 0.) + <SMP> <0> (Servers MUST accept the legacy_compression_method field with the value 0.),<CMC> <1> (Clients MUST set the legacy_compression_method field to 0.) + <SMP> <0> (Servers MUST accept the legacy_compression_method field with the value 0.)
22,Extensions Requirements,"The extensions field must include only those necessary for establishing the cryptographic context and must contain the ""supported_versions"" extension in all TLS 1.3 messages.",1,"```
<CMC> <1> (Clients MUST include only necessary extensions for establishing the cryptographic context and MUST contain the ""supported_versions"" extension in all TLS 1.3 messages.) + <SMP> <1> (Servers MUST process only necessary extensions for establishing the cryptographic context and MUST expect the ""supported_versions"" extension in all TLS 1.3 messages.)
```","<CMC> <1> (Clients MUST include only necessary extensions for establishing the cryptographic context and MUST contain the ""supported_versions"" extension in all TLS 1.3 messages.) + <SMP> <1> (Servers MUST process only necessary extensions for establishing the cryptographic context and MUST expect the ""supported_versions"" extension in all TLS 1.3 messages.)"
