index,section,title,construction_rule_type,construction_explicitness,construction_base,processing_rule_type,processing_explicitness,processing_base,test_strategy,message,field,action,relative_to,position,value,expected_result
1,4.1.2.. Handshake Protocol_Key Exchange Messages_Client Hello,ClientHello Message Overview,CLI-MSG-CONST,1,"""Clients MUST send the ClientHello as the first TLS message when connecting to a server. If a HelloRetryRequest is received, the client MUST resend the same ClientHello, modifying only as specified.""",SRV-MSG-PROC,1,"""Servers MUST expect the ClientHello as the first message and MUST handle a HelloRetryRequest by validating the modifications made by the client.""","""Test the server's handling of a non-ClientHello message as the first message in the handshake to verify its behavior.""",ClientHello,None,SET,None,None,"""NonClientHelloMessage""","""Server aborts the handshake with an unexpected_message alert."""
2,4.1.2.. Handshake Protocol_Key Exchange Messages_Client Hello,ClientHello Message Overview,CLI-MSG-CONST,1,"""Clients MUST replace the list of shares in the ""key_share"" extension with a single KeyShareEntry from the indicated group if specified in the HelloRetryRequest.""",SRV-MSG-PROC,1,"""Servers MUST validate that the ""key_share"" extension contains a single KeyShareEntry as indicated in the HelloRetryRequest.""","""Set the 'key_share' extension to contain multiple KeyShareEntries instead of a single entry as required by the HelloRetryRequest.""",ClientHello,key_share,SET,None,None,"""key_share extension contains multiple key with same group X25519""","""Server aborts the handshake with an illegal_parameter alert."""
3,4.1.2.. Handshake Protocol_Key Exchange Messages_Client Hello,ClientHello Message Overview,CLI-MSG-CONST,1,"""Clients MUST update the ""pre_shared_key"" extension by recomputing the ""obfuscated_ticket_age"" and binder values, and may remove incompatible PSKs as indicated by the server's cipher suite.""",SRV-MSG-PROC,1,"""Servers MUST validate the updated ""pre_shared_key"" extension for correctness according to the cipher suite.""","""Set the 'pre_shared_key' extension with incorrect 'obfuscated_ticket_age' and binder values to test server validation.""",ClientHello,pre_shared_key,SET,None,None,"""{""obfuscated_ticket_age"": 9999, ""binder"": ""invalid_binder""}""","""Server aborts the handshake with an illegal_parameter alert."""
4,4.1.2.. Handshake Protocol_Key Exchange Messages_Client Hello,ClientHello Message Overview,CLI-MSG-CONST,0,"""Clients MAY optionally add, remove, or change the length of the ""padding"" extension.""",SRV-MSG-PROC,0,"""Servers MAY handle modifications to the ""padding"" extension as specified by the client.""","""Set the length of the 'padding' extension to an invalid value to test server handling of padding modifications.""",ClientHello,padding,SET,None,None,"""0xFF""","""Server processes the modified padding without aborting the handshake."""
5,4.1.2.. Handshake Protocol_Key Exchange Messages_Client Hello,Field Descriptions,CLI-MSG-CONST,1,"""The 'legacy_version' field MUST be set to 0x0303 for compatibility with middleboxes; the actual version is indicated using the 'supported_versions' extension.""",SRV-MSG-PROC,1,"""Servers MUST accept 'legacy_version' set to 0x0303 and refer to the 'supported_versions' extension for the actual version.""","""Set the 'legacy_version' field to a value other than 0x0303 to test server's rejection of invalid versions.""",ClientHello,legacy_version,SET,None,None,"""0x0200""","""Server rejects the ClientHello with a protocol_version alert."""
6,4.1.2.. Handshake Protocol_Key Exchange Messages_Client Hello,Field Descriptions,CLI-MSG-CONST,1,"""The 'random' field MUST contain 32 bytes generated by a secure random number generator.""",SRV-MSG-PROC,1,"""Servers MUST validate that the 'random' field contains 32 bytes.""","""Set the 'random' field to a value that is not 32 bytes long to test server's validation of the field length.""",ClientHello,random,SET,None,None,"""0x0123456789ABCDEF""","""Server rejects the ClientHello with a handshake_failure alert."""
7,4.1.2.. Handshake Protocol_Key Exchange Messages_Client Hello,Field Descriptions,CLI-MSG-CONST,1,"""The 'legacy_session_id' field MUST be either a cached session ID from a pre-TLS 1.3 server or a new unpredictable value if none exists.""",SRV-MSG-PROC,1,"""Servers MUST handle 'legacy_session_id' by accepting either a cached session ID or a new unpredictable value.""","""Set the 'legacy_session_id' field to an invalid value to test server's rejection of incorrect session IDs.""",ClientHello,legacy_session_id,SET,None,None,"""invalid_session_id""","""Server rejects the ClientHello with an illegal_parameter alert."""
8,4.1.2.. Handshake Protocol_Key Exchange Messages_Client Hello,Field Descriptions,CLI-MSG-CONST,1,"""The 'cipher_suites' field MUST contain a list of symmetric cipher options supported by the client.""",SRV-MSG-PROC,1,"""Servers MUST validate the 'cipher_suites' field to ensure it contains supported symmetric cipher options.""","""Set the 'cipher_suites' field to an unsupported cipher suite to verify server rejection.""",ClientHello,cipher_suites,SET,None,None,"""0x0000""","""Server rejects the ClientHello with an illegal_parameter alert."""
9,4.1.2.. Handshake Protocol_Key Exchange Messages_Client Hello,Field Descriptions,CLI-MSG-CONST,1,"""The 'legacy_compression_methods' field MUST contain exactly one byte, set to zero.""",SRV-MSG-PROC,1,"""Servers MUST check that the 'legacy_compression_methods' field contains exactly one byte, set to zero.""","""Set the 'legacy_compression_methods' field to more than one byte to test server handling of invalid compression method lengths.""",ClientHello,legacy_compression_methods,SET,None,None,"""0x01, 0x02""","""Server aborts the handshake with an illegal_parameter alert."""
10,4.1.2.. Handshake Protocol_Key Exchange Messages_Client Hello,Field Descriptions,CLI-MSG-CONST,1,"""The 'extensions' field is used by clients to request extended functionality from servers.""",SRV-MSG-PROC,1,"""Servers MUST process the 'extensions' field to fulfill the extended functionality requests from clients.""","""Set the 'extensions' field to an incorrect format to test server's handling of malformed extension requests.""",ClientHello,extensions,SET,None,None,"""malformed_extension_data""","""Server rejects the ClientHello with an illegal_parameter alert."""
11,4.1.2.. Handshake Protocol_Key Exchange Messages_Client Hello,Extension Handling,CLI-MSG-CONST,1,"""Clients MUST include mandatory extensions as specified in the TLS 1.3 protocol.""",SRV-MSG-PROC,1,"""Servers MUST process ClientHello messages while adhering to the mandatory extension requirements.""","""Remove the mandatory 'key_share' extension to test the server's handling of missing mandatory extensions.""",ClientHello,key_share,REMOVE,None,None,"""None""","""Server aborts the handshake with a missing_extension or illegal_parameter alert."""
12,4.1.4.. Handshake Protocol_Key Exchange Messages_Hello Retry Request,Extension Processing and Updated ClientHello,CLI-MSG-CONST,1,"""Clients MUST process all extensions in the HelloRetryRequest and send a second updated ClientHello.""",SRV-MSG-PROC,1,"""Servers MUST ensure that the ClientHello includes only the extensions defined in the HelloRetryRequest.""","""Set an extension in the ClientHello that is not defined in the HelloRetryRequest to test server rejection.""",ClientHello,unsupported_extension,SET,None,None,"""0xFFFF""","""Server aborts the handshake with an illegal_parameter alert."""
13,4.2.. Handshake Protocol_Extensions,Extension Message Compatibility,CLI-MSG-CONST,1,"""Clients MUST ensure that extensions are only included in messages where they are specified to appear.""",SRV-MSG-PROC,1,"""Servers MUST abort the handshake with an 'illegal_parameter' alert if an extension is received in an unexpected message.""","""Insert an unexpected extension into a ClientHello message to test server handling of extensions in incorrect messages.""",ClientHello,unexpected_extension,INSERT,None,END,"""0x1234""","""Server aborts the handshake with an illegal_parameter alert."""
14,4.2.1.. Handshake Protocol_Extensions_Supported Versions,ClientHello Requirements,CLI-MSG-CONST,1,"""Clients MUST send the 'Supported Versions' extension in ClientHello, containing all TLS versions they are prepared to negotiate, including at least 0x0304.""",SRV-MSG-PROC,1,"""Servers MUST process the 'Supported Versions' extension and validate that it includes all versions of TLS that the client is prepared to negotiate.""","""Set the 'Supported Versions' extension to exclude 0x0304 to test server response to missing required versions.""",ClientHello,supported_versions,SET,None,None,"""[0x0303]""","""Server aborts the handshake with a protocol_version alert."""
15,4.2.1.. Handshake Protocol_Extensions_Supported Versions,ClientHello Requirements,CLI-MSG-CONST,1,"""If previous versions of TLS are allowed for negotiation, they MUST also be included in the 'Supported Versions' extension.""",SRV-MSG-PROC,1,"""Servers MUST ensure that any previous TLS versions permitted for negotiation are present in the 'Supported Versions' extension.""","""Set the 'Supported Versions' extension to exclude a previous version of TLS that is allowed for negotiation.""",ClientHello,supported_versions,SET,None,None,"""0x0302""","""Server aborts the handshake with a missing_extension or illegal_parameter alert."""
16,4.2.1.. Handshake Protocol_Extensions_Supported Versions,Server Behavior With the Extension,CLI-MSG-CONST,1,"""Clients MUST include the ""supported_versions"" extension in ClientHello for server version negotiation.""",SRV-MSG-PROC,1,"""Servers MUST NOT use ClientHello.legacy_version for version negotiation if the ""supported_versions"" extension is present; they MUST use the versions specified in that extension.""","""Set the legacy_version field to an arbitrary version while including the supported_versions extension to test server's behavior ignoring legacy_version.""",ClientHello,legacy_version,SET,None,None,"""0x0302""","""Server uses the versions specified in the supported_versions extension for negotiation, ignoring the legacy_version."""
17,4.2.1.. Handshake Protocol_Extensions_Supported Versions,Server Behavior With the Extension,CLI-MSG-CONST,1,"""Clients MUST ensure that the ""supported_versions"" extension lists all TLS versions they support.""",SRV-MSG-PROC,1,"""Servers MUST select a TLS version from the ""supported_versions"" extension and MUST ignore any unknown versions present.""","""Set the 'supported_versions' extension to include an unsupported version to validate server handling.""",ClientHello,supported_versions,SET,None,None,"""[0xFFFF, 0x0304]""","""Server selects a valid version from the list, ignoring the unsupported ones."""
18,4.2.1.. Handshake Protocol_Extensions_Supported Versions,Negotiation of Versions Prior to TLS 1.2,CLI-MSG-CONST,1,"""Clients that support prior versions of TLS SHOULD include TLS 1.2 in their supported versions list.""",SRV-MSG-PROC,1,"""Servers MUST be prepared to receive ClientHellos with this extension, and handle cases where 0x0304 (TLS 1.3) is not included in the list of versions.""","""Set the supported_versions field to exclude TLS 1.2 to test server's handling of unsupported versions.""",ClientHello,supported_versions,SET,None,None,"""0x0301, 0x0302""","""Server aborts the handshake with a protocol_version alert."""
19,4.2.1.. Handshake Protocol_Extensions_Supported Versions,Client Checks for the Supported Versions Extension,CLI-MSG-CONST,1,"""Clients MUST use only the 'supported_versions' extension to determine the selected version.""",SRV-MSG-PROC,1,"""If the 'supported_versions' extension contains a version not offered by the client or a version prior to TLS 1.3, clients MUST abort the handshake with an 'illegal_parameter' alert.""","""Set the 'supported_versions' extension to a version prior to TLS 1.3 to test the client's handling of unsupported versions.""",ClientHello,supported_versions,SET,None,None,"""0x0301""","""Client aborts the handshake with an illegal_parameter alert."""
